YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
200507,1195742,5466786,1,,"","SYLACAUGA",33.16667,-86.25,,
200507,1195626,5466942,1,,"","MAUMEE BAY",41.68333,-83.5,,
200507,1195626,5466943,1,,"","RENO BEACH",41.66667,-83.26667,,
200507,1195626,5466944,1,,"","THE ISLANDS",41.66667,-82.75,,
200507,1195499,5467466,1,,"","",,,,
200507,1195165,5467333,1,10,"N","SAN ANGELO",31.61667,-100.43333,,
200507,1195166,5467334,1,10,"N","EL DORADO MUNI ARPT",31,-100.61667,,
200507,1195167,5467335,1,,"","SAN ANGELO",31.46667,-100.43333,,
200507,1195168,5467336,1,3,"NW","MARYNEAL",32.3,-100.48333,,
200507,1195169,5467337,1,,"","ROSCOE",32.43333,-100.53333,,
200507,1195170,5467338,1,3,"N","PIERCE CITY",37,-94,,
200507,1195171,5467339,1,,"","BRADLEYVILLE",36.78333,-92.9,,
200507,1195172,5467340,1,,"","JOPLIN",37.08333,-94.51667,,
200507,1195173,5467341,1,,"","REEDS SPG",36.75,-93.38333,,
200507,1195183,5467342,1,,"","SCAMMON",37.28333,-94.81667,,
200507,1195648,5467241,1,,"","SALAMANCA",42.15,-78.71667,,
200507,1195648,5467242,1,,"","BYRON",43.08333,-78.06667,,
200507,1195240,5467503,1,,"","ROCKY GAP",37.23333,-81.1,,
200507,1195240,5467504,1,,"","ROCKY GAP",37.23333,-81.1,,
200507,1195240,5467505,1,6,"E","COVINGTON CITY",37.78333,-79.86667,,
200507,1195280,5467725,1,,"","",,,,
200507,1195280,5467726,1,,"","",,,,
200507,1195280,5467733,1,,"","",,,,
200507,1195280,5467734,1,,"","",,,,
200507,1194169,5465486,1,,"","CHELMSFORD CENTER",42.58333,-71.33333,,
200507,1194169,5465487,1,,"","HAVERHILL",42.78333,-71.08333,,
200507,1194169,5465488,1,,"","TEWKSBURY",42.61667,-71.23333,,
200507,1194169,5465489,1,,"","ANDOVER",42.65,-71.13333,,
200507,1194586,5465646,1,,"","BENSON ARPT",45.33333,-95.66667,,
200507,1194587,5465647,1,,"","PAYNESVILLE",45.38333,-94.73333,,
200507,1194170,5465503,1,,"","BEDFORD",42.95,-71.5,,
200506,1194428,5465722,1,10,"WNW","JAYTON",33.3,-100.75,,
200507,1194466,5465723,1,,"","MALDEN",36.56667,-89.96667,,
200507,1194466,5465724,1,1,"E","KENNETT",36.23333,-90.05,,
200507,1194466,5465725,1,10,"NNE","SENATH",36.26667,-90.1,,
200507,1194467,5465726,1,,"","PIGGOTT",36.38333,-90.18333,,
200507,1194467,5465727,1,,"","PIGGOTT",36.38333,-90.18333,,
200507,1194467,5465728,1,,"","MARKED TREE",35.53333,-90.41667,,
200507,1194467,5465729,1,,"","TYRONZA",35.48333,-90.36667,,
200507,1194467,5465730,1,,"","CHERRY VLY",35.4,-90.76667,,
