geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.953029, 'lng': -90.0731073}, 'viewport': {'northeast': {'lat': 29.9542305802915, 'lng': -90.07183521970849}, 'southwest': {'lat': 29.95153261970851, 'lng': -90.07453318029151}}}",Chevron Place Heliport,New Orleans,"['airport', 'point_of_interest', 'establishment']",29.953029,-90.0731073
"{'location': {'lat': 29.9556192, 'lng': -90.0764044}, 'viewport': {'northeast': {'lat': 29.9567272802915, 'lng': -90.0747059697085}, 'southwest': {'lat': 29.9540293197085, 'lng': -90.07740393029151}}}",Helipad,"1415-1469 Tulane Avenue, New Orleans","['airport', 'point_of_interest', 'establishment']",29.9556192,-90.0764044
"{'location': {'lat': 29.9526342, 'lng': -90.0825885}, 'viewport': {'northeast': {'lat': 29.9541512302915, 'lng': -90.0811529697085}, 'southwest': {'lat': 29.9514532697085, 'lng': -90.0838509302915}}}",New Orleans Downtown Heliport,New Orleans,"['airport', 'point_of_interest', 'establishment']",29.9526342,-90.0825885
"{'location': {'lat': 29.9591855, 'lng': -90.0826677}, 'viewport': {'northeast': {'lat': 29.9606251302915, 'lng': -90.0811197697085}, 'southwest': {'lat': 29.9579271697085, 'lng': -90.08381773029151}}}",Helipad,"2014 Palmyra Street, New Orleans","['airport', 'point_of_interest', 'establishment']",29.9591855,-90.0826677
"{'location': {'lat': 29.9267911, 'lng': -90.0932973}, 'viewport': {'northeast': {'lat': 29.9281234802915, 'lng': -90.09200801970849}, 'southwest': {'lat': 29.9254255197085, 'lng': -90.09470598029151}}}",Helipad,"1501-1599 Foucher Street, New Orleans","['airport', 'point_of_interest', 'establishment']",29.9267911,-90.0932973
"{'location': {'lat': 29.9372858, 'lng': -90.1044492}, 'viewport': {'northeast': {'lat': 29.9385773802915, 'lng': -90.1031789697085}, 'southwest': {'lat': 29.9358794197085, 'lng': -90.1058769302915}}}",Hospital Helipad 2,"4501 Magnolia Street, New Orleans","['airport', 'point_of_interest', 'establishment']",29.9372858,-90.1044492
"{'location': {'lat': 29.9373026, 'lng': -90.10466149999999}, 'viewport': {'northeast': {'lat': 29.9385829302915, 'lng': -90.10329391970849}, 'southwest': {'lat': 29.9358849697085, 'lng': -90.1059918802915}}}",Hospital Helipad 1,"4501 Magnolia Street, New Orleans","['airport', 'point_of_interest', 'establishment']",29.9373026,-90.10466149999999
"{'location': {'lat': 29.90187209999999, 'lng': -90.07368319999999}, 'viewport': {'northeast': {'lat': 29.9030950302915, 'lng': -90.07273306970849}, 'southwest': {'lat': 29.9003970697085, 'lng': -90.0754310302915}}}",Harvey Oil Center Heliport,Harvey,"['airport', 'point_of_interest', 'establishment']",29.90187209999999,-90.07368319999999
"{'location': {'lat': 29.9535366, 'lng': -90.0095144}, 'viewport': {'northeast': {'lat': 29.95493493029149, 'lng': -90.00828746970848}, 'southwest': {'lat': 29.9522369697085, 'lng': -90.0109854302915}}}",Jackson Barracks Heliport,New Orleans,"['airport', 'point_of_interest', 'establishment']",29.9535366,-90.0095144
"{'location': {'lat': 29.91688710000001, 'lng': -90.12794269999999}, 'viewport': {'northeast': {'lat': 29.9182730802915, 'lng': -90.1264804697085}, 'southwest': {'lat': 29.9155751197085, 'lng': -90.1291784302915}}}",Children's Hospital Heliport,"200 Henry Clay Avenue, New Orleans","['airport', 'point_of_interest', 'establishment']",29.91688710000001,-90.12794269999999
"{'location': {'lat': 29.916904, 'lng': -90.1279605}, 'viewport': {'northeast': {'lat': 29.9182914802915, 'lng': -90.1264937197085}, 'southwest': {'lat': 29.9155935197085, 'lng': -90.12919168029151}}}",Hospital Helipad,"100-190 Henry Clay Avenue, New Orleans","['airport', 'point_of_interest', 'establishment']",29.916904,-90.1279605
"{'location': {'lat': 29.998536, 'lng': -90.1167397}, 'viewport': {'northeast': {'lat': 29.9998852302915, 'lng': -90.11537916970849}, 'southwest': {'lat': 29.9971872697085, 'lng': -90.1180771302915}}}",Troop B Heliport,New Orleans,"['airport', 'point_of_interest', 'establishment']",29.998536,-90.1167397
"{'location': {'lat': 29.8928786, 'lng': -90.0950743}, 'viewport': {'northeast': {'lat': 29.8943309302915, 'lng': -90.0937365697085}, 'southwest': {'lat': 29.8916329697085, 'lng': -90.0964345302915}}}",Helipad,"4501-4599 10th Street, Marrero","['airport', 'point_of_interest', 'establishment']",29.8928786,-90.0950743
"{'location': {'lat': 29.9675833, 'lng': -90.1430555}, 'viewport': {'northeast': {'lat': 29.9688782802915, 'lng': -90.1417287697085}, 'southwest': {'lat': 29.9661803197085, 'lng': -90.1444267302915}}}",Ochsner Medical Institutions,Jefferson,"['airport', 'point_of_interest', 'establishment']",29.9675833,-90.1430555
"{'location': {'lat': 29.9607596, 'lng': -90.14562959999999}, 'viewport': {'northeast': {'lat': 29.9621151302915, 'lng': -90.1442777697085}, 'southwest': {'lat': 29.9594171697085, 'lng': -90.1469757302915}}}",Ochsner Foundation Hospital Heliport,Jefferson,"['airport', 'point_of_interest', 'establishment']",29.9607596,-90.14562959999999
"{'location': {'lat': 30.00522299999999, 'lng': -90.02302499999999}, 'viewport': {'northeast': {'lat': 30.0065631802915, 'lng': -90.02168771970848}, 'southwest': {'lat': 30.0038652197085, 'lng': -90.0243856802915}}}",A2 Global Shipping,"4801 Almonaster Avenue #140h, New Orleans","['airport', 'storage', 'moving_company', 'finance', 'point_of_interest', 'establishment']",30.00522299999999,-90.02302499999999
