geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9198326, 'lng': -90.0439024}, 'viewport': {'northeast': {'lat': 29.9211815802915, 'lng': -90.0425534197085}, 'southwest': {'lat': 29.9184836197085, 'lng': -90.0452513802915}}}",Gretna Bus Terminal,Gretna,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.9198326,-90.0439024
"{'location': {'lat': 29.949982, 'lng': -90.071649}, 'viewport': {'northeast': {'lat': 29.95128828029149, 'lng': -90.07031236970849}, 'southwest': {'lat': 29.9485903197085, 'lng': -90.0730103302915}}}",Poydras at Carondelet,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.949982,-90.071649
"{'location': {'lat': 29.950106, 'lng': -90.07028799999999}, 'viewport': {'northeast': {'lat': 29.9514714302915, 'lng': -90.06901291970848}, 'southwest': {'lat': 29.9487734697085, 'lng': -90.07171088029149}}}",New Orln Charles Poydras,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.950106,-90.07028799999999
"{'location': {'lat': 29.950269, 'lng': -90.072919}, 'viewport': {'northeast': {'lat': 29.9516419302915, 'lng': -90.0715623197085}, 'southwest': {'lat': 29.94894396970851, 'lng': -90.07426028029151}}}",Poydras at Baronne,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.950269,-90.072919
"{'location': {'lat': 29.950322, 'lng': -90.073093}, 'viewport': {'northeast': {'lat': 29.9516657802915, 'lng': -90.07171996970848}, 'southwest': {'lat': 29.9489678197085, 'lng': -90.0744179302915}}}",Baronne at Poydras,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.950322,-90.073093
"{'location': {'lat': 29.94944279999999, 'lng': -90.0707372}, 'viewport': {'northeast': {'lat': 29.95082968029149, 'lng': -90.06937661970848}, 'southwest': {'lat': 29.94813171970849, 'lng': -90.0720745802915}}}",Poydras at St Charles,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.94944279999999,-90.0707372
"{'location': {'lat': 29.950033, 'lng': -90.073149}, 'viewport': {'northeast': {'lat': 29.9513785302915, 'lng': -90.07180101970849}, 'southwest': {'lat': 29.9486805697085, 'lng': -90.0744989802915}}}",Poydras at Baronne,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.950033,-90.073149
"{'location': {'lat': 29.951403, 'lng': -90.073832}, 'viewport': {'northeast': {'lat': 29.9527642302915, 'lng': -90.0724766197085}, 'southwest': {'lat': 29.9500662697085, 'lng': -90.07517458029152}}}",O'Keefe Ave. at Perdido St.,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.951403,-90.073832
"{'location': {'lat': 29.950913, 'lng': -90.06885199999999}, 'viewport': {'northeast': {'lat': 29.9522634302915, 'lng': -90.06750966970849}, 'southwest': {'lat': 29.94956546970851, 'lng': -90.0702076302915}}}",Camp at Gravier,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.950913,-90.06885199999999
"{'location': {'lat': 29.952766, 'lng': -90.07342600000001}, 'viewport': {'northeast': {'lat': 29.9541134802915, 'lng': -90.0720777697085}, 'southwest': {'lat': 29.9514155197085, 'lng': -90.0747757302915}}}",O'Keefe and Gravier,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.952766,-90.07342600000001
"{'location': {'lat': 29.950164, 'lng': -90.074241}, 'viewport': {'northeast': {'lat': 29.9515230802915, 'lng': -90.07293711970848}, 'southwest': {'lat': 29.9488251197085, 'lng': -90.0756350802915}}}",O'Keefe Ave. at Poydras St.,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.950164,-90.074241
"{'location': {'lat': 29.949414, 'lng': -90.06912799999999}, 'viewport': {'northeast': {'lat': 29.9507292302915, 'lng': -90.0677893197085}, 'southwest': {'lat': 29.9480312697085, 'lng': -90.0704872802915}}}",Poydras at Camp,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.949414,-90.06912799999999
"{'location': {'lat': 29.94911699999999, 'lng': -90.06935899999999}, 'viewport': {'northeast': {'lat': 29.9504732302915, 'lng': -90.06804056970849}, 'southwest': {'lat': 29.9477752697085, 'lng': -90.07073853029151}}}",Camp at Poydras,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.94911699999999,-90.06935899999999
"{'location': {'lat': 29.95318899999999, 'lng': -90.069366}, 'viewport': {'northeast': {'lat': 29.9545388302915, 'lng': -90.06801621970848}, 'southwest': {'lat': 29.9518408697085, 'lng': -90.07071418029149}}}",New Orlns Canal & Charles,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.95318899999999,-90.069366
"{'location': {'lat': 29.953656, 'lng': -90.07018599999999}, 'viewport': {'northeast': {'lat': 29.95498878029149, 'lng': -90.0688124197085}, 'southwest': {'lat': 29.9522908197085, 'lng': -90.0715103802915}}}",Canal at Carondelet,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.953656,-90.07018599999999
"{'location': {'lat': 29.950758, 'lng': -90.075}, 'viewport': {'northeast': {'lat': 29.95209803029149, 'lng': -90.0736107197085}, 'southwest': {'lat': 29.9494000697085, 'lng': -90.07630868029152}}}",S. Rampart at Poydras,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.950758,-90.075
"{'location': {'lat': 29.954282, 'lng': -90.071113}, 'viewport': {'northeast': {'lat': 29.9556055802915, 'lng': -90.06973411970849}, 'southwest': {'lat': 29.9529076197085, 'lng': -90.07243208029149}}}",Canal at Baronne,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.954282,-90.071113
"{'location': {'lat': 29.953176, 'lng': -90.07428999999999}, 'viewport': {'northeast': {'lat': 29.9545299302915, 'lng': -90.0729384697085}, 'southwest': {'lat': 29.9518319697085, 'lng': -90.07563643029151}}}",S. Rampart at Gravier,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.953176,-90.07428999999999
"{'location': {'lat': 29.950648, 'lng': -90.06777199999999}, 'viewport': {'northeast': {'lat': 29.9519707802915, 'lng': -90.06643691970851}, 'southwest': {'lat': 29.9492728197085, 'lng': -90.06913488029151}}}",Magazine at Gravier,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.950648,-90.06777199999999
"{'location': {'lat': 29.950429, 'lng': -90.075165}, 'viewport': {'northeast': {'lat': 29.9518230302915, 'lng': -90.0737956697085}, 'southwest': {'lat': 29.9491250697085, 'lng': -90.07649363029151}}}",Poydras at S. Rampart,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.950429,-90.075165
"{'location': {'lat': 29.949053, 'lng': -90.074587}, 'viewport': {'northeast': {'lat': 29.9504101302915, 'lng': -90.0732756697085}, 'southwest': {'lat': 29.9477121697085, 'lng': -90.0759736302915}}}",O'Keefe Ave. at Lafayette St.,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.949053,-90.074587
"{'location': {'lat': 29.950864, 'lng': -90.075384}, 'viewport': {'northeast': {'lat': 29.9522077302915, 'lng': -90.07401511970849}, 'southwest': {'lat': 29.9495097697085, 'lng': -90.0767130802915}}}",Poydras at Loyola,United States,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.950864,-90.075384
