geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9520292, 'lng': -90.0771233}, 'viewport': {'northeast': {'lat': 29.9532475302915, 'lng': -90.0758703697085}, 'southwest': {'lat': 29.9505495697085, 'lng': -90.0785683302915}}}",Department of Public Works,"1300 Perdido St # 6W03, New Orleans","['local_government_office', 'point_of_interest', 'establishment']",29.9520292,-90.0771233
"{'location': {'lat': 29.9520391, 'lng': -90.0771376}, 'viewport': {'northeast': {'lat': 29.9532524802915, 'lng': -90.07587751970848}, 'southwest': {'lat': 29.9505545197085, 'lng': -90.0785754802915}}}",Sixth District Assessor's Office,"1300 Perdido Street, New Orleans","['accounting', 'finance', 'local_government_office', 'point_of_interest', 'establishment']",29.9520391,-90.0771376
"{'location': {'lat': 29.9514704, 'lng': -90.0763698}, 'viewport': {'northeast': {'lat': 29.95283688029151, 'lng': -90.0747566197085}, 'southwest': {'lat': 29.95013891970851, 'lng': -90.0774545802915}}}",New Orleans Civil District Ct,"421 Loyola Avenue #402, New Orleans","['courthouse', 'local_government_office', 'point_of_interest', 'establishment']",29.9514704,-90.0763698
"{'location': {'lat': 29.9520292, 'lng': -90.0771232}, 'viewport': {'northeast': {'lat': 29.9532475302915, 'lng': -90.07587031970849}, 'southwest': {'lat': 29.9505495697085, 'lng': -90.0785682802915}}}",New Orleans Clerk of Council,"1300 Perdido Street, New Orleans","['local_government_office', 'point_of_interest', 'establishment']",29.9520292,-90.0771232
"{'location': {'lat': 29.8993833, 'lng': -90.0710916}, 'viewport': {'northeast': {'lat': 29.9008950802915, 'lng': -90.0698101197085}, 'southwest': {'lat': 29.8981971197085, 'lng': -90.07250808029151}}}",Office of Motor Vehicles - Harvey,"2150 Westbank Expressway, Harvey","['local_government_office', 'point_of_interest', 'establishment']",29.8993833,-90.0710916
"{'location': {'lat': 29.953571, 'lng': -90.05396999999999}, 'viewport': {'northeast': {'lat': 29.9550577802915, 'lng': -90.05274106970849}, 'southwest': {'lat': 29.9523598197085, 'lng': -90.05543903029151}}}",Second City Clerk's Office,"225 Morgan Street # 206, New Orleans","['local_government_office', 'point_of_interest', 'establishment']",29.953571,-90.05396999999999
"{'location': {'lat': 29.95285849999999, 'lng': -90.0799667}, 'viewport': {'northeast': {'lat': 29.9540575302915, 'lng': -90.07870746970849}, 'southwest': {'lat': 29.9513595697085, 'lng': -90.08140543029151}}}",Crew Technical Services,"1615 Poydras Street, New Orleans","['local_government_office', 'point_of_interest', 'establishment']",29.95285849999999,-90.0799667
"{'location': {'lat': 29.951772, 'lng': -90.07614559999999}, 'viewport': {'northeast': {'lat': 29.95312283029149, 'lng': -90.07465571970849}, 'southwest': {'lat': 29.9504248697085, 'lng': -90.0773536802915}}}",Honorable Yada T Magee,"421 Loyola Avenue # 200C, New Orleans","['local_government_office', 'point_of_interest', 'establishment']",29.951772,-90.07614559999999
"{'location': {'lat': 29.951772, 'lng': -90.07614559999999}, 'viewport': {'northeast': {'lat': 29.95312283029149, 'lng': -90.07465571970849}, 'southwest': {'lat': 29.9504248697085, 'lng': -90.0773536802915}}}",Honorable Robin M Giarrusso,"421 Loyola Avenue # 411, New Orleans","['local_government_office', 'point_of_interest', 'establishment']",29.951772,-90.07614559999999
"{'location': {'lat': 29.951772, 'lng': -90.07614559999999}, 'viewport': {'northeast': {'lat': 29.95312283029149, 'lng': -90.07465571970849}, 'southwest': {'lat': 29.9504248697085, 'lng': -90.0773536802915}}}",Honorable Lloyd J Medley Jr,"421 Loyola Avenue # 412, New Orleans","['local_government_office', 'point_of_interest', 'establishment']",29.951772,-90.07614559999999
"{'location': {'lat': 29.951772, 'lng': -90.07614559999999}, 'viewport': {'northeast': {'lat': 29.95312283029149, 'lng': -90.07465571970849}, 'southwest': {'lat': 29.9504248697085, 'lng': -90.0773536802915}}}",Honorable Piper D Griffin,"421 Loyola Avenue # 405, New Orleans","['local_government_office', 'point_of_interest', 'establishment']",29.951772,-90.07614559999999
"{'location': {'lat': 29.9674942, 'lng': -90.08935199999999}, 'viewport': {'northeast': {'lat': 29.9686977802915, 'lng': -90.08813521970849}, 'southwest': {'lat': 29.9659998197085, 'lng': -90.0908331802915}}}",Regional Transit Authority,"2817 Canal Street, New Orleans","['local_government_office', 'point_of_interest', 'establishment']",29.9674942,-90.08935199999999
"{'location': {'lat': 29.9484692, 'lng': -90.0678885}, 'viewport': {'northeast': {'lat': 29.9499712802915, 'lng': -90.06669331970849}, 'southwest': {'lat': 29.9472733197085, 'lng': -90.0693912802915}}}",US Social Security Administration,"400 Poydras Street #500, New Orleans","['local_government_office', 'point_of_interest', 'establishment']",29.9484692,-90.0678885
"{'location': {'lat': 29.9511811, 'lng': -90.0651152}, 'viewport': {'northeast': {'lat': 29.9523913302915, 'lng': -90.0639662697085}, 'southwest': {'lat': 29.94969336970851, 'lng': -90.06666423029151}}}",Representative Neil Abramson,New Orleans,"['local_government_office', 'point_of_interest', 'establishment']",29.9511811,-90.0651152
"{'location': {'lat': 29.951772, 'lng': -90.07614559999999}, 'viewport': {'northeast': {'lat': 29.95312283029149, 'lng': -90.07465571970849}, 'southwest': {'lat': 29.9504248697085, 'lng': -90.0773536802915}}}",Honorable Paulette R Irons,"421 Loyola Avenue # 314, New Orleans","['local_government_office', 'point_of_interest', 'establishment']",29.951772,-90.07614559999999
"{'location': {'lat': 29.951772, 'lng': -90.07614559999999}, 'viewport': {'northeast': {'lat': 29.95312283029149, 'lng': -90.07465571970849}, 'southwest': {'lat': 29.9504248697085, 'lng': -90.0773536802915}}}",New Orleans Monitoring Program,"421 Loyola Avenue # 210, New Orleans","['local_government_office', 'point_of_interest', 'establishment']",29.951772,-90.07614559999999
