FEMA Lifeline,geometry,name,types,vicinity,lat,lng
Safety & Security,"{'location': {'lat': 29.8739066, 'lng': -90.4350511}, 'viewport': {'northeast': {'lat': 29.8753423302915, 'lng': -90.43377081970849}, 'southwest': {'lat': 29.8726443697085, 'lng': -90.4364687802915}}}",Paradis Volunteer Fire Department,"['fire_station', 'point_of_interest', 'establishment']","807 Barber Road, Paradis",29.8739066,-90.4350511
Safety & Security,"{'location': {'lat': 29.9133649, 'lng': -90.3796666}, 'viewport': {'northeast': {'lat': 29.91479613029149, 'lng': -90.37846721970848}, 'southwest': {'lat': 29.91209816970849, 'lng': -90.3811651802915}}}",Luling Volunteer Fire Department Central Station,"['fire_station', 'point_of_interest', 'establishment']","1603 Paul Maillard Road, Luling",29.9133649,-90.3796666
Safety & Security,"{'location': {'lat': 29.87851869999999, 'lng': -90.42839889999999}, 'viewport': {'northeast': {'lat': 29.8798588802915, 'lng': -90.42706431970848}, 'southwest': {'lat': 29.87716091970851, 'lng': -90.4297622802915}}}",Volunteer Fire Department,"['fire_station', 'point_of_interest', 'establishment']","510 Louisiana Street, Paradis",29.87851869999999,-90.42839889999999
Safety & Security,"{'location': {'lat': 29.829584, 'lng': -90.4588852}, 'viewport': {'northeast': {'lat': 29.8307467302915, 'lng': -90.45735826970851}, 'southwest': {'lat': 29.8280487697085, 'lng': -90.46005623029151}}}",Des Allemands Volunteer Fire,"['fire_station', 'point_of_interest', 'establishment']","16960 U.S. 90, Des Allemands",29.829584,-90.4588852
Safety & Security,"{'location': {'lat': 29.95414740000001, 'lng': -90.0654416}, 'viewport': {'northeast': {'lat': 29.9554338302915, 'lng': -90.06399996970849}, 'southwest': {'lat': 29.9527358697085, 'lng': -90.06669793029151}}}",New Orleans Fire Department,"['fire_station', 'point_of_interest', 'establishment']","317 Decatur Street, New Orleans",29.95414740000001,-90.0654416
Safety & Security,"{'location': {'lat': 29.95720500000001, 'lng': -90.077615}, 'viewport': {'northeast': {'lat': 29.9586310802915, 'lng': -90.0761942697085}, 'southwest': {'lat': 29.9559331197085, 'lng': -90.07889223029152}}}",Fire Station 14,"['fire_station', 'point_of_interest', 'establishment']",New Orleans,29.95720500000001,-90.077615
Safety & Security,"{'location': {'lat': 29.94844839999999, 'lng': -90.0517536}, 'viewport': {'northeast': {'lat': 29.9498561302915, 'lng': -90.0504076197085}, 'southwest': {'lat': 29.9471581697085, 'lng': -90.0531055802915}}}",New Orleans Fire Engine 20,"['fire_station', 'point_of_interest', 'establishment']","425 Opelousas Avenue, New Orleans",29.94844839999999,-90.0517536
Safety & Security,"{'location': {'lat': 29.9478144, 'lng': -90.072802}, 'viewport': {'northeast': {'lat': 29.9491113302915, 'lng': -90.0714692697085}, 'southwest': {'lat': 29.9464133697085, 'lng': -90.07416723029151}}}",NOFD Fire Station Squad 2/Rescue 2,"['fire_station', 'point_of_interest', 'establishment']","801 Girod Street, New Orleans",29.9478144,-90.072802
Safety & Security,"{'location': {'lat': 29.94158549999999, 'lng': -90.0790541}, 'viewport': {'northeast': {'lat': 29.9429111802915, 'lng': -90.07766321970848}, 'southwest': {'lat': 29.9402132197085, 'lng': -90.08036118029149}}}",Cease Fire,"['fire_station', 'point_of_interest', 'establishment']","1417 Oretha Castle Haley Boulevard, New Orleans",29.94158549999999,-90.0790541
Safety & Security,"{'location': {'lat': 29.96275099999999, 'lng': -90.071415}, 'viewport': {'northeast': {'lat': 29.9641375302915, 'lng': -90.0699910197085}, 'southwest': {'lat': 29.9614395697085, 'lng': -90.0726889802915}}}",NOFD Station 7,"['fire_station', 'point_of_interest', 'establishment']","1441 South Peters Street, New Orleans",29.96275099999999,-90.071415
Safety & Security,"{'location': {'lat': 29.9414887, 'lng': -90.0805219}, 'viewport': {'northeast': {'lat': 29.9429494302915, 'lng': -90.07908831970849}, 'southwest': {'lat': 29.9402514697085, 'lng': -90.08178628029151}}}",NOFD Fire Station Engine 16,"['fire_station', 'point_of_interest', 'establishment']","2000 Martin Luther King Junior Boulevard, New Orleans",29.9414887,-90.0805219
Safety & Security,"{'location': {'lat': 29.962158, 'lng': -90.057771}, 'viewport': {'northeast': {'lat': 29.96345223029149, 'lng': -90.0564717197085}, 'southwest': {'lat': 29.9607542697085, 'lng': -90.0591696802915}}}",New Orleans Fire Department Station 9,"['fire_station', 'point_of_interest', 'establishment']","449 Esplanade Avenue, New Orleans",29.962158,-90.057771
Safety & Security,"{'location': {'lat': 29.9663987, 'lng': -90.0966582}, 'viewport': {'northeast': {'lat': 29.96781318029149, 'lng': -90.09540516970849}, 'southwest': {'lat': 29.9651152197085, 'lng': -90.09810313029149}}}",NOFD Fire Station Engine 26/Ladder 9,"['fire_station', 'point_of_interest', 'establishment']","436 South Jefferson Davis Parkway, New Orleans",29.9663987,-90.0966582
Safety & Security,"{'location': {'lat': 29.9249655, 'lng': -90.0841758}, 'viewport': {'northeast': {'lat': 29.9264211302915, 'lng': -90.0829068697085}, 'southwest': {'lat': 29.9237231697085, 'lng': -90.0856048302915}}}",NOFD Fire Station Engine 1,"['fire_station', 'point_of_interest', 'establishment']","2924 Magazine Street, New Orleans",29.9249655,-90.0841758
Safety & Security,"{'location': {'lat': 29.9793135, 'lng': -90.0585728}, 'viewport': {'northeast': {'lat': 29.9808255802915, 'lng': -90.05723461970848}, 'southwest': {'lat': 29.9781276197085, 'lng': -90.0599325802915}}}",NOFD Fire Station Engine 27/Ladder 11,"['fire_station', 'point_of_interest', 'establishment']",New Orleans,29.9793135,-90.0585728
Safety & Security,"{'location': {'lat': 29.9814289, 'lng': -90.0927581}, 'viewport': {'northeast': {'lat': 29.9828487302915, 'lng': -90.09149716970849}, 'southwest': {'lat': 29.9801507697085, 'lng': -90.0941951302915}}}",NOFD Fire Station Engine 35,"['fire_station', 'point_of_interest', 'establishment']","964 North Carrollton Avenue, New Orleans",29.9814289,-90.0927581
Safety & Security,"{'location': {'lat': 29.9567424, 'lng': -90.1199604}, 'viewport': {'northeast': {'lat': 29.9580362302915, 'lng': -90.1186769697085}, 'southwest': {'lat': 29.9553382697085, 'lng': -90.12137493029151}}}",Engine 25 & Ladder 7,"['fire_station', 'point_of_interest', 'establishment']","2430 South Carrollton Avenue, New Orleans",29.9567424,-90.1199604
Safety & Security,"{'location': {'lat': 29.9567806, 'lng': -90.1199712}, 'viewport': {'northeast': {'lat': 29.9580675302915, 'lng': -90.1186959697085}, 'southwest': {'lat': 29.9553695697085, 'lng': -90.12139393029152}}}",NOFD Fire Station Engine 25/Ladder 7,"['fire_station', 'point_of_interest', 'establishment']","2430 South Carrollton Avenue, New Orleans",29.9567806,-90.1199712
Safety & Security,"{'location': {'lat': 29.9835219, 'lng': -90.035765}, 'viewport': {'northeast': {'lat': 29.9849502302915, 'lng': -90.0343898197085}, 'southwest': {'lat': 29.9822522697085, 'lng': -90.0370877802915}}}",NOFD Fire Stations Engine 8,"['fire_station', 'point_of_interest', 'establishment']","3330 Florida Avenue, New Orleans",29.9835219,-90.035765
Safety & Security,"{'location': {'lat': 29.9398496, 'lng': -90.0204467}, 'viewport': {'northeast': {'lat': 29.9410935302915, 'lng': -90.01915926970848}, 'southwest': {'lat': 29.9383955697085, 'lng': -90.0218572302915}}}",NOFD Fire Stations Engine 33/Ladder 6,"['fire_station', 'point_of_interest', 'establishment']","3340 General Meyer Avenue, New Orleans",29.9398496,-90.0204467
Safety & Security,"{'location': {'lat': 29.9252554, 'lng': -90.11678769999999}, 'viewport': {'northeast': {'lat': 29.9266184302915, 'lng': -90.11551046970848}, 'southwest': {'lat': 29.9239204697085, 'lng': -90.1182084302915}}}",NOFD Fire Station Engine 15,"['fire_station', 'point_of_interest', 'establishment']","1211 Arabella Street, New Orleans",29.9252554,-90.11678769999999
Safety & Security,"{'location': {'lat': 29.9656898, 'lng': -90.0140236}, 'viewport': {'northeast': {'lat': 29.9671171302915, 'lng': -90.0126507697085}, 'southwest': {'lat': 29.9644191697085, 'lng': -90.0153487302915}}}",NOFD Fire Station Engine 39,"['fire_station', 'point_of_interest', 'establishment']","5602 North Claiborne Avenue, New Orleans",29.9656898,-90.0140236
Safety & Security,"{'location': {'lat': 29.96279309999999, 'lng': -90.1395711}, 'viewport': {'northeast': {'lat': 29.96417003029149, 'lng': -90.1383159197085}, 'southwest': {'lat': 29.9614720697085, 'lng': -90.14101388029151}}}",Jefferson Parish Fire Station 12,"['fire_station', 'point_of_interest', 'establishment']","966 Jefferson Highway, Jefferson",29.96279309999999,-90.1395711
Safety & Security,"{'location': {'lat': 30.0034118, 'lng': -90.03593090000001}, 'viewport': {'northeast': {'lat': 30.00496498029151, 'lng': -90.0347110197085}, 'southwest': {'lat': 30.00226701970851, 'lng': -90.0374089802915}}}",NOFD Fire Station Engine 6,"['fire_station', 'point_of_interest', 'establishment']","4550 Old Gentilly Road, New Orleans",30.0034118,-90.03593090000001
Safety & Security,"{'location': {'lat': 29.9582697, 'lng': -89.99058699999999}, 'viewport': {'northeast': {'lat': 29.9595597302915, 'lng': -89.9892694197085}, 'southwest': {'lat': 29.9568617697085, 'lng': -89.99196738029151}}}",St Bernard Parish Fire Department,"['fire_station', 'point_of_interest', 'establishment']","8201 West Judge Perez Drive, Chalmette",29.9582697,-89.99058699999999
Safety & Security,"{'location': {'lat': 30.0041869, 'lng': -90.1060249}, 'viewport': {'northeast': {'lat': 30.0056545802915, 'lng': -90.10466166970849}, 'southwest': {'lat': 30.00295661970851, 'lng': -90.1073596302915}}}",NOFD Fire Station Engine 18,"['fire_station', 'point_of_interest', 'establishment']","778 Harrison Avenue, New Orleans",30.0041869,-90.1060249
Safety & Security,"{'location': {'lat': 29.9790111, 'lng': -90.1429369}, 'viewport': {'northeast': {'lat': 29.9803820802915, 'lng': -90.14166591970849}, 'southwest': {'lat': 29.9776841197085, 'lng': -90.1443638802915}}}",Jefferson Parish Fire Station 14,"['fire_station', 'point_of_interest', 'establishment']","701 Glenwood Drive, Metairie",29.9790111,-90.1429369
Safety & Security,"{'location': {'lat': 29.9109273, 'lng': -90.0575204}, 'viewport': {'northeast': {'lat': 29.9123161802915, 'lng': -90.0560992697085}, 'southwest': {'lat': 29.9096182197085, 'lng': -90.0587972302915}}}",David Crockett Fire Department,"['fire_station', 'point_of_interest', 'establishment']","1136 Lafayette Street, Gretna",29.9109273,-90.0575204
Safety & Security,"{'location': {'lat': 29.9652187, 'lng': -90.05431659999999}, 'viewport': {'northeast': {'lat': 29.9665733302915, 'lng': -90.05286926970848}, 'southwest': {'lat': 29.9638753697085, 'lng': -90.0555672302915}}}",The Old Firehouse,"['fire_station', 'point_of_interest', 'establishment']","720 Mandeville Street, New Orleans",29.9652187,-90.05431659999999
Safety & Security,"{'location': {'lat': 29.92875919999999, 'lng': -90.02077849999999}, 'viewport': {'northeast': {'lat': 29.9300997302915, 'lng': -90.0192599697085}, 'southwest': {'lat': 29.9274017697085, 'lng': -90.0219579302915}}}",Fire Fighter Pension & Relief,"['local_government_office', 'fire_station', 'point_of_interest', 'establishment']","3520 General De Gaulle # 3001, New Orleans",29.92875919999999,-90.02077849999999
Safety & Security,"{'location': {'lat': 29.9657822, 'lng': -90.055571}, 'viewport': {'northeast': {'lat': 29.9670611302915, 'lng': -90.0542159697085}, 'southwest': {'lat': 29.9643631697085, 'lng': -90.05691393029151}}}",Fire & Safety Prevention Fsp,"['fire_station', 'point_of_interest', 'establishment']","2233 Dauphine Street, New Orleans",29.9657822,-90.055571
Safety & Security,"{'location': {'lat': 29.94785899999999, 'lng': -90.0728142}, 'viewport': {'northeast': {'lat': 29.94913648029149, 'lng': -90.0714875697085}, 'southwest': {'lat': 29.94643851970849, 'lng': -90.0741855302915}}}",New Orleans Fire Station 2,"['fire_station', 'point_of_interest', 'establishment']","801 Girod Street, New Orleans",29.94785899999999,-90.0728142
Safety & Security,"{'location': {'lat': 29.9478144, 'lng': -90.072802}, 'viewport': {'northeast': {'lat': 29.9491113302915, 'lng': -90.0714692697085}, 'southwest': {'lat': 29.9464133697085, 'lng': -90.07416723029151}}}",Flying Squad,"['fire_station', 'point_of_interest', 'establishment']","801 Girod Street, New Orleans",29.9478144,-90.072802
Safety & Security,"{'location': {'lat': 29.95414740000001, 'lng': -90.0654416}, 'viewport': {'northeast': {'lat': 29.9554338302915, 'lng': -90.06399996970849}, 'southwest': {'lat': 29.9527358697085, 'lng': -90.06669793029151}}}",NOFD Headquarters,"['fire_station', 'point_of_interest', 'establishment']","317 Decatur Street, New Orleans",29.95414740000001,-90.0654416
Safety & Security,"{'location': {'lat': 29.9621861, 'lng': -90.0577828}, 'viewport': {'northeast': {'lat': 29.9635621302915, 'lng': -90.05646766970851}, 'southwest': {'lat': 29.9608641697085, 'lng': -90.05916563029152}}}",Engine 9,"['fire_station', 'point_of_interest', 'establishment']","449 Decatur Street, New Orleans",29.9621861,-90.0577828
Safety & Security,"{'location': {'lat': 29.9664073, 'lng': -90.0966735}, 'viewport': {'northeast': {'lat': 29.9678169302915, 'lng': -90.0954133697085}, 'southwest': {'lat': 29.96511896970851, 'lng': -90.0981113302915}}}",Engine 26,"['fire_station', 'point_of_interest', 'establishment']","436 South Jefferson Davis Parkway, New Orleans",29.9664073,-90.0966735
Safety & Security,"{'location': {'lat': 29.920876, 'lng': -90.07868979999999}, 'viewport': {'northeast': {'lat': 29.9222544302915, 'lng': -90.07728466970849}, 'southwest': {'lat': 29.9195564697085, 'lng': -90.0799826302915}}}",Areana Fire Protection,"['fire_station', 'point_of_interest', 'establishment']","440 Washington Avenue, New Orleans",29.920876,-90.07868979999999
Safety & Security,"{'location': {'lat': 29.9187503, 'lng': -90.062972}, 'viewport': {'northeast': {'lat': 29.9200669302915, 'lng': -90.0616818197085}, 'southwest': {'lat': 29.9173689697085, 'lng': -90.0643797802915}}}","David Crockett Fire Co, No.1","['fire_station', 'point_of_interest', 'establishment']","207 Lafayette Street, Gretna",29.9187503,-90.062972
Safety & Security,"{'location': {'lat': 29.93774299999999, 'lng': -90.1078656}, 'viewport': {'northeast': {'lat': 29.9391433802915, 'lng': -90.10651471970849}, 'southwest': {'lat': 29.9364454197085, 'lng': -90.10921268029149}}}",Fire Station No. 38,"['fire_station', 'point_of_interest', 'establishment']","4934 Clara Street, New Orleans",29.93774299999999,-90.1078656
Safety & Security,"{'location': {'lat': 29.9377057, 'lng': -90.1079926}, 'viewport': {'northeast': {'lat': 29.9391264802915, 'lng': -90.1066409697085}, 'southwest': {'lat': 29.93642851970851, 'lng': -90.1093389302915}}}",Engine 38,"['fire_station', 'point_of_interest', 'establishment']","4940 Clara Street, New Orleans",29.9377057,-90.1079926
Safety & Security,"{'location': {'lat': 29.9643384, 'lng': -90.0318875}, 'viewport': {'northeast': {'lat': 29.96566838029149, 'lng': -90.03045346970849}, 'southwest': {'lat': 29.9629704197085, 'lng': -90.03315143029151}}}",NOFD Fire Station Engine 24,"['fire_station', 'point_of_interest', 'establishment']","1040 Poland Avenue, New Orleans",29.9643384,-90.0318875
Safety & Security,"{'location': {'lat': 29.9186731, 'lng': -90.0475529}, 'viewport': {'northeast': {'lat': 29.9200164302915, 'lng': -90.0462879697085}, 'southwest': {'lat': 29.9173184697085, 'lng': -90.04898593029151}}}",David Crockett Vol.Fire Co.,"['fire_station', 'point_of_interest', 'establishment']","2000 Hancock Street, Gretna",29.9186731,-90.0475529
Safety & Security,"{'location': {'lat': 29.9300678, 'lng': -90.0320296}, 'viewport': {'northeast': {'lat': 29.9314207802915, 'lng': -90.03077451970849}, 'southwest': {'lat': 29.9287228197085, 'lng': -90.03347248029151}}}",Fire Station 40,"['fire_station', 'point_of_interest', 'establishment']","1864 Shirley Drive, New Orleans",29.9300678,-90.0320296
Safety & Security,"{'location': {'lat': 29.910943, 'lng': -90.05754069999999}, 'viewport': {'northeast': {'lat': 29.9123335802915, 'lng': -90.0561164697085}, 'southwest': {'lat': 29.9096356197085, 'lng': -90.0588144302915}}}",David Crocktt Stm Voltr,"['fire_station', 'point_of_interest', 'establishment']","1136 Lafayette Street, Gretna",29.910943,-90.05754069999999
Safety & Security,"{'location': {'lat': 29.9838461, 'lng': -90.03645139999999}, 'viewport': {'northeast': {'lat': 29.98517348029149, 'lng': -90.0351091197085}, 'southwest': {'lat': 29.98247551970849, 'lng': -90.0378070802915}}}",Engine 8,"['fire_station', 'point_of_interest', 'establishment']","3300 Florida Avenue, New Orleans",29.9838461,-90.03645139999999
Safety & Security,"{'location': {'lat': 29.9053586, 'lng': -90.07273579999999}, 'viewport': {'northeast': {'lat': 29.9066776302915, 'lng': -90.07146056970849}, 'southwest': {'lat': 29.9039796697085, 'lng': -90.0741585302915}}}",Harvey Volunteer Fire Co,"['fire_station', 'point_of_interest', 'establishment']","639 Maple Avenue, Harvey",29.9053586,-90.07273579999999
Safety & Security,"{'location': {'lat': 29.99794079999999, 'lng': -90.0738751}, 'viewport': {'northeast': {'lat': 29.9992938802915, 'lng': -90.0724695197085}, 'southwest': {'lat': 29.9965959197085, 'lng': -90.07516748029151}}}",Engine 21,"['fire_station', 'point_of_interest', 'establishment']",New Orleans,29.99794079999999,-90.0738751
Safety & Security,"{'location': {'lat': 29.8969843, 'lng': -90.04727869999999}, 'viewport': {'northeast': {'lat': 29.8984649802915, 'lng': -90.0460214197085}, 'southwest': {'lat': 29.8957670197085, 'lng': -90.0487193802915}}}",David Crockett Fire Department,"['fire_station', 'point_of_interest', 'establishment']","700 Gretna Boulevard, Gretna",29.8969843,-90.04727869999999
Safety & Security,"{'location': {'lat': 29.9115251, 'lng': -90.0329091}, 'viewport': {'northeast': {'lat': 29.9129373302915, 'lng': -90.0316780197085}, 'southwest': {'lat': 29.9102393697085, 'lng': -90.0343759802915}}}",Terrytown Volunteer Fire Department,"['fire_station', 'point_of_interest', 'establishment']","341 Heritage Avenue, Terrytown",29.9115251,-90.0329091
Safety & Security,"{'location': {'lat': 29.9656933, 'lng': -90.01396310000001}, 'viewport': {'northeast': {'lat': 29.9670786302915, 'lng': -90.0127650697085}, 'southwest': {'lat': 29.9643806697085, 'lng': -90.0154630302915}}}",NOFD Engine 39,"['fire_station', 'point_of_interest', 'establishment']","1600-1652 Caffin Avenue, New Orleans",29.9656933,-90.01396310000001
Safety & Security,"{'location': {'lat': 29.9011587, 'lng': -90.09565889999999}, 'viewport': {'northeast': {'lat': 29.9024938302915, 'lng': -90.09442021970848}, 'southwest': {'lat': 29.8997958697085, 'lng': -90.09711818029149}}}",Marrero-Harvey Volunteer Fire,"['fire_station', 'point_of_interest', 'establishment']","531 Avenue C, Marrero",29.9011587,-90.09565889999999
Safety & Security,"{'location': {'lat': 30.0042016, 'lng': -90.1060237}, 'viewport': {'northeast': {'lat': 30.0056619302915, 'lng': -90.1046613197085}, 'southwest': {'lat': 30.00296396970851, 'lng': -90.1073592802915}}}",Engine 18,"['fire_station', 'point_of_interest', 'establishment']","773 Harrison Avenue, New Orleans",30.0042016,-90.1060237
Safety & Security,"{'location': {'lat': 29.9606022, 'lng': -90.0012816}, 'viewport': {'northeast': {'lat': 29.9618955302915, 'lng': -89.99977661970848}, 'southwest': {'lat': 29.9591975697085, 'lng': -90.0024745802915}}}",Arabi Fire Station 1,"['fire_station', 'point_of_interest', 'establishment']","1500 Aycock Street, Arabi",29.9606022,-90.0012816
Safety & Security,"{'location': {'lat': 29.8894058, 'lng': -90.06375419999999}, 'viewport': {'northeast': {'lat': 29.8904871802915, 'lng': -90.0624649697085}, 'southwest': {'lat': 29.8877892197085, 'lng': -90.0651629302915}}}",Harvey Volunteer Fire Co No 2,"['fire_station', 'point_of_interest', 'establishment']","1801 Gretna Boulevard, Harvey",29.8894058,-90.06375419999999
Safety & Security,"{'location': {'lat': 29.8994651, 'lng': -90.0222388}, 'viewport': {'northeast': {'lat': 29.9006755802915, 'lng': -90.02089906970849}, 'southwest': {'lat': 29.8979776197085, 'lng': -90.0235970302915}}}",Terrytown Volunteer Fire Department,"['fire_station', 'point_of_interest', 'establishment']","2201 Carol Sue Avenue, Terrytown",29.8994651,-90.0222388
Safety & Security,"{'location': {'lat': 30.016286, 'lng': -90.051796}, 'viewport': {'northeast': {'lat': 30.0176424302915, 'lng': -90.05028081970849}, 'southwest': {'lat': 30.0149444697085, 'lng': -90.0529787802915}}}",Engine 12 NOFD,"['fire_station', 'point_of_interest', 'establishment']","5600 Franklin Avenue, New Orleans",30.016286,-90.051796
Safety & Security,"{'location': {'lat': 29.89908740000001, 'lng': -90.1233718}, 'viewport': {'northeast': {'lat': 29.9004446802915, 'lng': -90.1220907197085}, 'southwest': {'lat': 29.8977467197085, 'lng': -90.1247886802915}}}",Marrero Ragusa Vol. Fire Co. No. 3 Station,"['fire_station', 'point_of_interest', 'establishment']","455 Saint Ann Street, Marrero",29.89908740000001,-90.1233718
Safety & Security,"{'location': {'lat': 29.95832039999999, 'lng': -89.9905927}, 'viewport': {'northeast': {'lat': 29.9595904802915, 'lng': -89.9892857697085}, 'southwest': {'lat': 29.9568925197085, 'lng': -89.99198373029152}}}",Fire Station 2,"['fire_station', 'point_of_interest', 'establishment']","7628 West Judge Perez Drive, Arabi",29.95832039999999,-89.9905927
Safety & Security,"{'location': {'lat': 29.95832559999999, 'lng': -89.9905871}, 'viewport': {'northeast': {'lat': 29.9595926302915, 'lng': -89.98928176970848}, 'southwest': {'lat': 29.9568946697085, 'lng': -89.9919797302915}}}",SBFD Station 2,"['fire_station', 'point_of_interest', 'establishment']","7628 West Judge Perez Drive, Arabi",29.95832559999999,-89.9905871
Safety & Security,"{'location': {'lat': 29.99713210000001, 'lng': -90.1347701}, 'viewport': {'northeast': {'lat': 29.9983997302915, 'lng': -90.1334265197085}, 'southwest': {'lat': 29.9957017697085, 'lng': -90.1361244802915}}}",Jefferson Parish Fire Station 15,"['fire_station', 'point_of_interest', 'establishment']","1101 North Service Road East, Metairie",29.99713210000001,-90.1347701
Safety & Security,"{'location': {'lat': 29.951772, 'lng': -90.07614559999999}, 'viewport': {'northeast': {'lat': 29.95312283029149, 'lng': -90.07465571970849}, 'southwest': {'lat': 29.9504248697085, 'lng': -90.0773536802915}}}",Orleans Parish Sheriffs Office,"['police', 'point_of_interest', 'establishment']","421 Loyola Avenue, New Orleans",29.951772,-90.07614559999999
Safety & Security,"{'location': {'lat': 29.9553436, 'lng': -90.0668997}, 'viewport': {'northeast': {'lat': 29.9567591302915, 'lng': -90.06561806970849}, 'southwest': {'lat': 29.9540611697085, 'lng': -90.0683160302915}}}",New Orleans Police Department,"['police', 'point_of_interest', 'establishment']","334 Royal Street, New Orleans",29.9553436,-90.0668997
Safety & Security,"{'location': {'lat': 29.9034746, 'lng': -90.07118779999999}, 'viewport': {'northeast': {'lat': 29.9047048802915, 'lng': -90.07013071970849}, 'southwest': {'lat': 29.9020069197085, 'lng': -90.0728286802915}}}",Jefferson Parish Sheriff's Office,"['police', 'local_government_office', 'point_of_interest', 'establishment']","725 Maple Avenue, Harvey",29.9034746,-90.07118779999999
Safety & Security,"{'location': {'lat': 29.9600404, 'lng': -90.1088341}, 'viewport': {'northeast': {'lat': 29.9613839802915, 'lng': -90.10747661970849}, 'southwest': {'lat': 29.9586860197085, 'lng': -90.11017458029151}}}",New Orleans Police Department - Second District Station,"['police', 'point_of_interest', 'establishment']","3401 Broadway Street, New Orleans",29.9600404,-90.1088341
Safety & Security,"{'location': {'lat': 29.9412793, 'lng': -90.0801154}, 'viewport': {'northeast': {'lat': 29.9427324302915, 'lng': -90.07868756970849}, 'southwest': {'lat': 29.9400344697085, 'lng': -90.0813855302915}}}",New Orleans Police Department,"['police', 'point_of_interest', 'establishment']","1930 Martin Luther King Junior Boulevard, New Orleans",29.9412793,-90.0801154
Safety & Security,"{'location': {'lat': 29.90622549999999, 'lng': -90.064203}, 'viewport': {'northeast': {'lat': 29.9074580802915, 'lng': -90.06256871970848}, 'southwest': {'lat': 29.9047601197085, 'lng': -90.06526668029149}}}",Jefferson Parish Sheriff's Office,"['police', 'point_of_interest', 'establishment']","1233 Westbank Expressway, Harvey",29.90622549999999,-90.064203
Safety & Security,"{'location': {'lat': 29.9484696, 'lng': -90.0689841}, 'viewport': {'northeast': {'lat': 29.9498875802915, 'lng': -90.0679341197085}, 'southwest': {'lat': 29.9471896197085, 'lng': -90.0706320802915}}}",US Marshals Services,"['police', 'point_of_interest', 'establishment']","500 Poydras Street, New Orleans",29.9484696,-90.0689841
Safety & Security,"{'location': {'lat': 29.9177146, 'lng': -90.0585905}, 'viewport': {'northeast': {'lat': 29.9192082802915, 'lng': -90.05735651970849}, 'southwest': {'lat': 29.9165103197085, 'lng': -90.0600544802915}}}",Gretna Police Vehicle Maintenance,"['police', 'point_of_interest', 'establishment']","200 5th Street, Gretna",29.9177146,-90.0585905
Safety & Security,"{'location': {'lat': 29.9608627, 'lng': -90.0928608}, 'viewport': {'northeast': {'lat': 29.9619749802915, 'lng': -90.0911326697085}, 'southwest': {'lat': 29.9592770197085, 'lng': -90.0938306302915}}}",New Orleans Police Department,"['police', 'local_government_office', 'point_of_interest', 'establishment']","715 South Broad Avenue, New Orleans",29.9608627,-90.0928608
Safety & Security,"{'location': {'lat': 29.9266052, 'lng': -90.0679304}, 'viewport': {'northeast': {'lat': 29.9280114802915, 'lng': -90.06683176970849}, 'southwest': {'lat': 29.9253135197085, 'lng': -90.0695297302915}}}",New Orleans Police Traffic Division,"['police', 'point_of_interest', 'establishment']","1899 Tchoupitoulas Street, New Orleans",29.9266052,-90.0679304
Safety & Security,"{'location': {'lat': 29.939097, 'lng': -90.0754894}, 'viewport': {'northeast': {'lat': 29.9404253302915, 'lng': -90.07410081970849}, 'southwest': {'lat': 29.9377273697085, 'lng': -90.0767987802915}}}",safety camera,"['police', 'point_of_interest', 'establishment']","Saint Charles Avenue, New Orleans",29.939097,-90.0754894
Safety & Security,"{'location': {'lat': 29.9377289, 'lng': -90.0715014}, 'viewport': {'northeast': {'lat': 29.9390776302915, 'lng': -90.07015126970849}, 'southwest': {'lat': 29.9363796697085, 'lng': -90.0728492302915}}}",safety camera,"['police', 'point_of_interest', 'establishment']","Magazine Street, New Orleans",29.9377289,-90.0715014
Safety & Security,"{'location': {'lat': 29.9642507, 'lng': -90.0842214}, 'viewport': {'northeast': {'lat': 29.96566853029149, 'lng': -90.08297671970848}, 'southwest': {'lat': 29.96297056970849, 'lng': -90.0856746802915}}}",New Orleans Police Department Public Integrity Bureau,"['police', 'point_of_interest', 'establishment']","1340 Poydras Street Suite 1900, New Orleans",29.9642507,-90.0842214
Safety & Security,"{'location': {'lat': 29.9592476, 'lng': -90.0939212}, 'viewport': {'northeast': {'lat': 29.9605919302915, 'lng': -90.0923609697085}, 'southwest': {'lat': 29.9578939697085, 'lng': -90.0950589302915}}}",Orleans Parish Sheriff's Office,"['police', 'local_government_office', 'point_of_interest', 'establishment']","2800 Perdido Street, New Orleans",29.9592476,-90.0939212
