geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.951772, 'lng': -90.07614559999999}, 'viewport': {'northeast': {'lat': 29.95312283029149, 'lng': -90.07465571970849}, 'southwest': {'lat': 29.9504248697085, 'lng': -90.0773536802915}}}",Orleans Parish Sheriffs Office,"421 Loyola Avenue, New Orleans","['police', 'point_of_interest', 'establishment']",29.951772,-90.07614559999999
"{'location': {'lat': 29.9553436, 'lng': -90.0668997}, 'viewport': {'northeast': {'lat': 29.9567591302915, 'lng': -90.06561806970849}, 'southwest': {'lat': 29.9540611697085, 'lng': -90.0683160302915}}}",New Orleans Police Department,"334 Royal Street, New Orleans","['police', 'point_of_interest', 'establishment']",29.9553436,-90.0668997
"{'location': {'lat': 29.9034746, 'lng': -90.07118779999999}, 'viewport': {'northeast': {'lat': 29.9047048802915, 'lng': -90.07013071970849}, 'southwest': {'lat': 29.9020069197085, 'lng': -90.0728286802915}}}",Jefferson Parish Sheriff's Office,"725 Maple Avenue, Harvey","['police', 'local_government_office', 'point_of_interest', 'establishment']",29.9034746,-90.07118779999999
"{'location': {'lat': 29.9600404, 'lng': -90.1088341}, 'viewport': {'northeast': {'lat': 29.9613839802915, 'lng': -90.10747661970849}, 'southwest': {'lat': 29.9586860197085, 'lng': -90.11017458029151}}}",New Orleans Police Department - Second District Station,"3401 Broadway Street, New Orleans","['police', 'point_of_interest', 'establishment']",29.9600404,-90.1088341
"{'location': {'lat': 29.8920146, 'lng': -89.9766101}, 'viewport': {'northeast': {'lat': 29.89333093029149, 'lng': -89.9753033197085}, 'southwest': {'lat': 29.89063296970849, 'lng': -89.97800128029151}}}",Plaquemine Parish Narcotics,"505 F Edward Hebert Boulevard, Belle Chasse","['police', 'local_government_office', 'point_of_interest', 'establishment']",29.8920146,-89.9766101
"{'location': {'lat': 30.01163269999999, 'lng': -90.1637246}, 'viewport': {'northeast': {'lat': 30.0129744802915, 'lng': -90.1621601197085}, 'southwest': {'lat': 30.0102765197085, 'lng': -90.16485808029151}}}",Sheriff's Office-Property Tax,"4116 Hessmer Avenue, Metairie","['police', 'local_government_office', 'point_of_interest', 'establishment']",30.01163269999999,-90.1637246
"{'location': {'lat': 29.8896617, 'lng': -90.111752}, 'viewport': {'northeast': {'lat': 29.8910112302915, 'lng': -90.1103851197085}, 'southwest': {'lat': 29.8883132697085, 'lng': -90.1130830802915}}}",Jefferson Parish Sheriff,"1425 Walkertown Way, Marrero","['police', 'local_government_office', 'point_of_interest', 'establishment']",29.8896617,-90.111752
"{'location': {'lat': 29.9412793, 'lng': -90.0801154}, 'viewport': {'northeast': {'lat': 29.9427324302915, 'lng': -90.07868756970849}, 'southwest': {'lat': 29.9400344697085, 'lng': -90.0813855302915}}}",New Orleans Police Department,"1930 Martin Luther King Junior Boulevard, New Orleans","['police', 'point_of_interest', 'establishment']",29.9412793,-90.0801154
"{'location': {'lat': 29.90622549999999, 'lng': -90.064203}, 'viewport': {'northeast': {'lat': 29.9074580802915, 'lng': -90.06256871970848}, 'southwest': {'lat': 29.9047601197085, 'lng': -90.06526668029149}}}",Jefferson Parish Sheriff's Office,"1233 Westbank Expressway, Harvey","['police', 'point_of_interest', 'establishment']",29.90622549999999,-90.064203
"{'location': {'lat': 29.9484696, 'lng': -90.0689841}, 'viewport': {'northeast': {'lat': 29.9498875802915, 'lng': -90.0679341197085}, 'southwest': {'lat': 29.9471896197085, 'lng': -90.0706320802915}}}",US Marshals Services,"500 Poydras Street, New Orleans","['police', 'point_of_interest', 'establishment']",29.9484696,-90.0689841
"{'location': {'lat': 29.9177146, 'lng': -90.0585905}, 'viewport': {'northeast': {'lat': 29.9192082802915, 'lng': -90.05735651970849}, 'southwest': {'lat': 29.9165103197085, 'lng': -90.0600544802915}}}",Gretna Police Vehicle Maintenance,"200 5th Street, Gretna","['police', 'point_of_interest', 'establishment']",29.9177146,-90.0585905
"{'location': {'lat': 29.9608627, 'lng': -90.0928608}, 'viewport': {'northeast': {'lat': 29.9619749802915, 'lng': -90.0911326697085}, 'southwest': {'lat': 29.9592770197085, 'lng': -90.0938306302915}}}",New Orleans Police Department,"715 South Broad Avenue, New Orleans","['police', 'local_government_office', 'point_of_interest', 'establishment']",29.9608627,-90.0928608
"{'location': {'lat': 29.9266052, 'lng': -90.0679304}, 'viewport': {'northeast': {'lat': 29.9280114802915, 'lng': -90.06683176970849}, 'southwest': {'lat': 29.9253135197085, 'lng': -90.0695297302915}}}",New Orleans Police Traffic Division,"1899 Tchoupitoulas Street, New Orleans","['police', 'point_of_interest', 'establishment']",29.9266052,-90.0679304
"{'location': {'lat': 29.9550147, 'lng': -90.1779454}, 'viewport': {'northeast': {'lat': 29.9563773302915, 'lng': -90.17662916970849}, 'southwest': {'lat': 29.9536793697085, 'lng': -90.1793271302915}}}",Causeway Police,"5100 Jefferson Highway, New Orleans","['police', 'point_of_interest', 'establishment']",29.9550147,-90.1779454
"{'location': {'lat': 29.850728, 'lng': -89.98789239999999}, 'viewport': {'northeast': {'lat': 29.8520906802915, 'lng': -89.98653591970849}, 'southwest': {'lat': 29.8493927197085, 'lng': -89.98923388029151}}}",Plaquemine Parish Economic,"104 New Orleans Street, Belle Chasse","['police', 'point_of_interest', 'establishment']",29.850728,-89.98789239999999
"{'location': {'lat': 29.939097, 'lng': -90.0754894}, 'viewport': {'northeast': {'lat': 29.9404253302915, 'lng': -90.07410081970849}, 'southwest': {'lat': 29.9377273697085, 'lng': -90.0767987802915}}}",safety camera,"Saint Charles Avenue, New Orleans","['police', 'point_of_interest', 'establishment']",29.939097,-90.0754894
"{'location': {'lat': 29.9377289, 'lng': -90.0715014}, 'viewport': {'northeast': {'lat': 29.9390776302915, 'lng': -90.07015126970849}, 'southwest': {'lat': 29.9363796697085, 'lng': -90.0728492302915}}}",safety camera,"Magazine Street, New Orleans","['police', 'point_of_interest', 'establishment']",29.9377289,-90.0715014
"{'location': {'lat': 29.9642507, 'lng': -90.0842214}, 'viewport': {'northeast': {'lat': 29.96566853029149, 'lng': -90.08297671970848}, 'southwest': {'lat': 29.96297056970849, 'lng': -90.0856746802915}}}",New Orleans Police Department Public Integrity Bureau,"1340 Poydras Street Suite 1900, New Orleans","['police', 'point_of_interest', 'establishment']",29.9642507,-90.0842214
"{'location': {'lat': 29.9592476, 'lng': -90.0939212}, 'viewport': {'northeast': {'lat': 29.9605919302915, 'lng': -90.0923609697085}, 'southwest': {'lat': 29.9578939697085, 'lng': -90.0950589302915}}}",Orleans Parish Sheriff's Office,"2800 Perdido Street, New Orleans","['police', 'local_government_office', 'point_of_interest', 'establishment']",29.9592476,-90.0939212
"{'location': {'lat': 29.9497201, 'lng': -90.0317872}, 'viewport': {'northeast': {'lat': 29.9512689802915, 'lng': -90.0304222697085}, 'southwest': {'lat': 29.9485710197085, 'lng': -90.0331202302915}}}",New Orleans Police Department,"2405 Sanctuary Drive, New Orleans","['police', 'point_of_interest', 'establishment']",29.9497201,-90.0317872
"{'location': {'lat': 29.970584, 'lng': -90.03417200000001}, 'viewport': {'northeast': {'lat': 29.9720238302915, 'lng': -90.0327962697085}, 'southwest': {'lat': 29.9693258697085, 'lng': -90.03549423029152}}}",NOPD 5th District,"3900 North Claiborne Avenue, New Orleans","['police', 'point_of_interest', 'establishment']",29.970584,-90.03417200000001
