geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9462348, 'lng': -90.0786902}, 'viewport': {'northeast': {'lat': 29.9475067302915, 'lng': -90.0771221697085}, 'southwest': {'lat': 29.9448087697085, 'lng': -90.07982013029151}}}",Union Passenger Terminal,"1001 Loyola Avenue, New Orleans","['train_station', 'transit_station', 'point_of_interest', 'establishment']",29.9462348,-90.0786902
"{'location': {'lat': 29.9335739, 'lng': -90.03265309999999}, 'viewport': {'northeast': {'lat': 29.9349309302915, 'lng': -90.03147201970849}, 'southwest': {'lat': 29.9322329697085, 'lng': -90.0341699802915}}}",International-Matex Tank,New Orleans,"['transit_station', 'point_of_interest', 'establishment']",29.9335739,-90.03265309999999
"{'location': {'lat': 29.9530178, 'lng': -90.05606499999999}, 'viewport': {'northeast': {'lat': 29.9544278302915, 'lng': -90.0547183197085}, 'southwest': {'lat': 29.9517298697085, 'lng': -90.0574162802915}}}",Algiers Ferry Terminal,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9530178,-90.05606499999999
"{'location': {'lat': 29.9198326, 'lng': -90.0439024}, 'viewport': {'northeast': {'lat': 29.9211815802915, 'lng': -90.0425534197085}, 'southwest': {'lat': 29.9184836197085, 'lng': -90.0452513802915}}}",Gretna Bus Terminal,Gretna,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",29.9198326,-90.0439024
"{'location': {'lat': 29.9498015, 'lng': -90.07174599999999}, 'viewport': {'northeast': {'lat': 29.9511356802915, 'lng': -90.0704022697085}, 'southwest': {'lat': 29.9484377197085, 'lng': -90.07310023029152}}}",Poydras at Carondelet,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9498015,-90.07174599999999
"{'location': {'lat': 29.9495699, 'lng': -90.0706876}, 'viewport': {'northeast': {'lat': 29.9508956802915, 'lng': -90.0693458697085}, 'southwest': {'lat': 29.9481977197085, 'lng': -90.0720438302915}}}",Poydras at St Charles,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9495699,-90.0706876
"{'location': {'lat': 29.950135, 'lng': -90.07308499999999}, 'viewport': {'northeast': {'lat': 29.9514900302915, 'lng': -90.0717680697085}, 'southwest': {'lat': 29.9487920697085, 'lng': -90.0744660302915}}}",Poydras at Baronne,United States,"['transit_station', 'point_of_interest', 'establishment']",29.950135,-90.07308499999999
"{'location': {'lat': 29.9492655, 'lng': -90.06924350000001}, 'viewport': {'northeast': {'lat': 29.9505728302915, 'lng': -90.0679057697085}, 'southwest': {'lat': 29.9478748697085, 'lng': -90.07060373029151}}}",Camp at Poydras,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9492655,-90.06924350000001
"{'location': {'lat': 29.953593, 'lng': -90.0701235}, 'viewport': {'northeast': {'lat': 29.9549367802915, 'lng': -90.06876671970848}, 'southwest': {'lat': 29.9522388197085, 'lng': -90.0714646802915}}}",Canal at Carondelet,United States,"['transit_station', 'point_of_interest', 'establishment']",29.953593,-90.0701235
"{'location': {'lat': 29.9505935, 'lng': -90.0750825}, 'viewport': {'northeast': {'lat': 29.9519625302915, 'lng': -90.0737242197085}, 'southwest': {'lat': 29.9492645697085, 'lng': -90.0764221802915}}}",Poydras at S. Rampart,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9505935,-90.0750825
"{'location': {'lat': 29.9508342, 'lng': -90.075729}, 'viewport': {'northeast': {'lat': 29.9521839302915, 'lng': -90.07437966970849}, 'southwest': {'lat': 29.9494859697085, 'lng': -90.0770776302915}}}",Poydras at Loyola,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9508342,-90.075729
"{'location': {'lat': 29.9521525, 'lng': -90.075668}, 'viewport': {'northeast': {'lat': 29.9535014802915, 'lng': -90.07431901970848}, 'southwest': {'lat': 29.9508035197085, 'lng': -90.07701698029149}}}",Loyola at Perdido,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9521525,-90.075668
"{'location': {'lat': 29.9544875, 'lng': -90.0749775}, 'viewport': {'northeast': {'lat': 29.9558524302915, 'lng': -90.0736610197085}, 'southwest': {'lat': 29.9531544697085, 'lng': -90.0763589802915}}}",Loyola at Tulane,United States,"['transit_station', 'point_of_interest', 'establishment']",29.9544875,-90.0749775
"{'location': {'lat': 29.951356, 'lng': -90.06597200000002}, 'viewport': {'northeast': {'lat': 29.9527035302915, 'lng': -90.06461876970849}, 'southwest': {'lat': 29.9500055697085, 'lng': -90.06731673029151}}}",N. Peters at Canal,United States,"['transit_station', 'point_of_interest', 'establishment']",29.951356,-90.06597200000002
"{'location': {'lat': 29.94849159999999, 'lng': -90.076379}, 'viewport': {'northeast': {'lat': 29.94984683029149, 'lng': -90.0750278197085}, 'southwest': {'lat': 29.9471488697085, 'lng': -90.0777257802915}}}",Loyola at Girod,United States,"['transit_station', 'point_of_interest', 'establishment']",29.94849159999999,-90.076379
"{'location': {'lat': 29.948484, 'lng': -90.06584}, 'viewport': {'northeast': {'lat': 29.9498115302915, 'lng': -90.06449691970849}, 'southwest': {'lat': 29.9471135697085, 'lng': -90.0671948802915}}}",Poydras at S. Peters,United States,"['transit_station', 'point_of_interest', 'establishment']",29.948484,-90.06584
"{'location': {'lat': 29.953219, 'lng': -90.0651245}, 'viewport': {'northeast': {'lat': 29.9545604302915, 'lng': -90.06375291970849}, 'southwest': {'lat': 29.95186246970851, 'lng': -90.0664508802915}}}",N. Peters at Bienville,United States,"['transit_station', 'point_of_interest', 'establishment']",29.953219,-90.0651245
"{'location': {'lat': 29.95778900000001, 'lng': -90.0719225}, 'viewport': {'northeast': {'lat': 29.9591324302915, 'lng': -90.0705786197085}, 'southwest': {'lat': 29.9564344697085, 'lng': -90.0732765802915}}}",Basin at Bienville,United States,"['transit_station', 'point_of_interest', 'establishment']",29.95778900000001,-90.0719225
