geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9362159, 'lng': -90.07801409999999}, 'viewport': {'northeast': {'lat': 29.93751788029149, 'lng': -90.07661401970849}, 'southwest': {'lat': 29.9348199197085, 'lng': -90.0793119802915}}}",Walgreens,"1801 Saint Charles Avenue, New Orleans","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9362159,-90.07801409999999
"{'location': {'lat': 29.95371029999999, 'lng': -90.070301}, 'viewport': {'northeast': {'lat': 29.9551094802915, 'lng': -90.0689076197085}, 'southwest': {'lat': 29.9524115197085, 'lng': -90.0716055802915}}}",CVS,"800 Canal Street, New Orleans","['convenience_store', 'health', 'store', 'food', 'point_of_interest', 'establishment']",29.95371029999999,-90.070301
"{'location': {'lat': 29.9538489, 'lng': -90.06817439999999}, 'viewport': {'northeast': {'lat': 29.9553045802915, 'lng': -90.06687381970849}, 'southwest': {'lat': 29.9526066197085, 'lng': -90.0695717802915}}}",Walgreens,"134 Royal Street, New Orleans","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9538489,-90.06817439999999
"{'location': {'lat': 29.9238795, 'lng': -90.0870827}, 'viewport': {'northeast': {'lat': 29.9251590802915, 'lng': -90.08569111970849}, 'southwest': {'lat': 29.9224611197085, 'lng': -90.08838908029149}}}",Walgreens,"3227 Magazine Street, New Orleans","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9238795,-90.0870827
"{'location': {'lat': 29.98237420000001, 'lng': -90.0719704}, 'viewport': {'northeast': {'lat': 29.9838274302915, 'lng': -90.07077716970849}, 'southwest': {'lat': 29.98112946970851, 'lng': -90.07347513029151}}}",Walgreens,"1826 North Broad Street, New Orleans","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.98237420000001,-90.0719704
"{'location': {'lat': 29.9566144, 'lng': -90.1203652}, 'viewport': {'northeast': {'lat': 29.9580269302915, 'lng': -90.11894066970848}, 'southwest': {'lat': 29.9553289697085, 'lng': -90.1216386302915}}}",Walgreens,"2418 South Carrollton Avenue, New Orleans","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9566144,-90.1203652
"{'location': {'lat': 29.9747044, 'lng': -90.0997462}, 'viewport': {'northeast': {'lat': 29.9759527302915, 'lng': -90.0984880697085}, 'southwest': {'lat': 29.9732547697085, 'lng': -90.1011860302915}}}",Walgreens,"4001 Canal Street, New Orleans","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9747044,-90.0997462
"{'location': {'lat': 29.9248533, 'lng': -90.1080568}, 'viewport': {'northeast': {'lat': 29.92606043029149, 'lng': -90.10671461970848}, 'southwest': {'lat': 29.9233624697085, 'lng': -90.1094125802915}}}",CVS,"4901 Prytania Street, New Orleans","['convenience_store', 'health', 'store', 'food', 'point_of_interest', 'establishment']",29.9248533,-90.1080568
"{'location': {'lat': 29.8920249, 'lng': -90.05943239999999}, 'viewport': {'northeast': {'lat': 29.8934745302915, 'lng': -90.05787501970849}, 'southwest': {'lat': 29.8907765697085, 'lng': -90.0605729802915}}}",Walgreens,"1544 Manhattan Boulevard, Harvey","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.8920249,-90.05943239999999
"{'location': {'lat': 30.00363489999999, 'lng': -90.03933889999999}, 'viewport': {'northeast': {'lat': 30.00517523029149, 'lng': -90.0380865197085}, 'southwest': {'lat': 30.0024772697085, 'lng': -90.0407844802915}}}",Walgreens,"4200 Chef Menteur Highway, New Orleans","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",30.00363489999999,-90.03933889999999
"{'location': {'lat': 29.9447281, 'lng': -90.13357979999999}, 'viewport': {'northeast': {'lat': 29.9458671302915, 'lng': -90.13196261970849}, 'southwest': {'lat': 29.9431691697085, 'lng': -90.1346605802915}}}",Walgreens,"718 South Carrollton Avenue, New Orleans","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9447281,-90.13357979999999
"{'location': {'lat': 29.9563506, 'lng': -90.06289199999999}, 'viewport': {'northeast': {'lat': 29.9577449802915, 'lng': -90.0616162697085}, 'southwest': {'lat': 29.9550470197085, 'lng': -90.0643142302915}}}",CVS,"620 Decatur Street, New Orleans","['convenience_store', 'health', 'store', 'food', 'point_of_interest', 'establishment']",29.9563506,-90.06289199999999
"{'location': {'lat': 29.9564985, 'lng': -90.0632358}, 'viewport': {'northeast': {'lat': 29.9577973802915, 'lng': -90.06180596970849}, 'southwest': {'lat': 29.9550994197085, 'lng': -90.0645039302915}}}",Walgreens,"619 Decatur Street, New Orleans","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9564985,-90.0632358
"{'location': {'lat': 29.93974429999999, 'lng': -90.10381489999999}, 'viewport': {'northeast': {'lat': 29.9410826302915, 'lng': -90.1025965697085}, 'southwest': {'lat': 29.9383846697085, 'lng': -90.1052945302915}}}",Walgreens,"4400 South Claiborne Avenue, New Orleans","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.93974429999999,-90.10381489999999
"{'location': {'lat': 29.96875, 'lng': -90.0575995}, 'viewport': {'northeast': {'lat': 29.9701921802915, 'lng': -90.05594916970848}, 'southwest': {'lat': 29.9674942197085, 'lng': -90.0586471302915}}}",Walgreens,"1100 Elysian Fields Avenue, New Orleans","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.96875,-90.0575995
"{'location': {'lat': 29.940618, 'lng': -90.1041841}, 'viewport': {'northeast': {'lat': 29.9418449302915, 'lng': -90.1028234697085}, 'southwest': {'lat': 29.9391469697085, 'lng': -90.1055214302915}}}",CVS,"4401 South Claiborne Avenue, New Orleans","['convenience_store', 'health', 'store', 'food', 'point_of_interest', 'establishment']",29.940618,-90.1041841
"{'location': {'lat': 29.9436078, 'lng': -90.02950899999999}, 'viewport': {'northeast': {'lat': 29.94487583029149, 'lng': -90.02820081970849}, 'southwest': {'lat': 29.94217786970849, 'lng': -90.0308987802915}}}",ATM,"2600 General Meyer Avenue, New Orleans","['atm', 'convenience_store', 'grocery_or_supermarket', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.9436078,-90.02950899999999
"{'location': {'lat': 29.9154184, 'lng': -90.04833029999999}, 'viewport': {'northeast': {'lat': 29.9166933302915, 'lng': -90.0469168697085}, 'southwest': {'lat': 29.9139953697085, 'lng': -90.0496148302915}}}",Walgreens,"89 Westbank Expressway, Gretna","['convenience_store', 'health', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9154184,-90.04833029999999
