geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.95414740000001, 'lng': -90.0654416}, 'viewport': {'northeast': {'lat': 29.9554338302915, 'lng': -90.06399996970849}, 'southwest': {'lat': 29.9527358697085, 'lng': -90.06669793029151}}}",New Orleans Fire Department,"317 Decatur Street, New Orleans","['fire_station', 'point_of_interest', 'establishment']",29.95414740000001,-90.0654416
"{'location': {'lat': 29.95720500000001, 'lng': -90.077615}, 'viewport': {'northeast': {'lat': 29.9586310802915, 'lng': -90.0761942697085}, 'southwest': {'lat': 29.9559331197085, 'lng': -90.07889223029152}}}",Fire Station 14,New Orleans,"['fire_station', 'point_of_interest', 'establishment']",29.95720500000001,-90.077615
"{'location': {'lat': 29.94844839999999, 'lng': -90.0517536}, 'viewport': {'northeast': {'lat': 29.9498561302915, 'lng': -90.0504076197085}, 'southwest': {'lat': 29.9471581697085, 'lng': -90.0531055802915}}}",New Orleans Fire Engine 20,"425 Opelousas Avenue, New Orleans","['fire_station', 'point_of_interest', 'establishment']",29.94844839999999,-90.0517536
"{'location': {'lat': 29.9478144, 'lng': -90.072802}, 'viewport': {'northeast': {'lat': 29.9491113302915, 'lng': -90.0714692697085}, 'southwest': {'lat': 29.9464133697085, 'lng': -90.07416723029151}}}",NOFD Fire Station Squad 2/Rescue 2,"801 Girod Street, New Orleans","['fire_station', 'point_of_interest', 'establishment']",29.9478144,-90.072802
"{'location': {'lat': 29.94158549999999, 'lng': -90.0790541}, 'viewport': {'northeast': {'lat': 29.9429111802915, 'lng': -90.07766321970848}, 'southwest': {'lat': 29.9402132197085, 'lng': -90.08036118029149}}}",Cease Fire,"1417 Oretha Castle Haley Boulevard, New Orleans","['fire_station', 'point_of_interest', 'establishment']",29.94158549999999,-90.0790541
"{'location': {'lat': 29.96275099999999, 'lng': -90.071415}, 'viewport': {'northeast': {'lat': 29.9641375302915, 'lng': -90.0699910197085}, 'southwest': {'lat': 29.9614395697085, 'lng': -90.0726889802915}}}",NOFD Station 7,"1441 South Peters Street, New Orleans","['fire_station', 'point_of_interest', 'establishment']",29.96275099999999,-90.071415
"{'location': {'lat': 29.9414887, 'lng': -90.0805219}, 'viewport': {'northeast': {'lat': 29.9429494302915, 'lng': -90.07908831970849}, 'southwest': {'lat': 29.9402514697085, 'lng': -90.08178628029151}}}",NOFD Fire Station Engine 16,"2000 Martin Luther King Junior Boulevard, New Orleans","['fire_station', 'point_of_interest', 'establishment']",29.9414887,-90.0805219
"{'location': {'lat': 29.962158, 'lng': -90.057771}, 'viewport': {'northeast': {'lat': 29.96345223029149, 'lng': -90.0564717197085}, 'southwest': {'lat': 29.9607542697085, 'lng': -90.0591696802915}}}",New Orleans Fire Department Station 9,"449 Esplanade Avenue, New Orleans","['fire_station', 'point_of_interest', 'establishment']",29.962158,-90.057771
"{'location': {'lat': 29.9663987, 'lng': -90.0966582}, 'viewport': {'northeast': {'lat': 29.96781318029149, 'lng': -90.09540516970849}, 'southwest': {'lat': 29.9651152197085, 'lng': -90.09810313029149}}}",NOFD Fire Station Engine 26/Ladder 9,"436 South Jefferson Davis Parkway, New Orleans","['fire_station', 'point_of_interest', 'establishment']",29.9663987,-90.0966582
"{'location': {'lat': 29.9249655, 'lng': -90.0841758}, 'viewport': {'northeast': {'lat': 29.9264211302915, 'lng': -90.0829068697085}, 'southwest': {'lat': 29.9237231697085, 'lng': -90.0856048302915}}}",Fire Station 1,"2924 Magazine Street, New Orleans","['fire_station', 'point_of_interest', 'establishment']",29.9249655,-90.0841758
"{'location': {'lat': 29.9793135, 'lng': -90.0585728}, 'viewport': {'northeast': {'lat': 29.9808255802915, 'lng': -90.05723461970848}, 'southwest': {'lat': 29.9781276197085, 'lng': -90.0599325802915}}}",NOFD Fire Station Engine 27/Ladder 11,New Orleans,"['fire_station', 'point_of_interest', 'establishment']",29.9793135,-90.0585728
"{'location': {'lat': 29.9814289, 'lng': -90.0927581}, 'viewport': {'northeast': {'lat': 29.9828487302915, 'lng': -90.09149716970849}, 'southwest': {'lat': 29.9801507697085, 'lng': -90.0941951302915}}}",NOFD Fire Station Engine 35,"964 North Carrollton Avenue, New Orleans","['fire_station', 'point_of_interest', 'establishment']",29.9814289,-90.0927581
"{'location': {'lat': 29.9567424, 'lng': -90.1199604}, 'viewport': {'northeast': {'lat': 29.9580362302915, 'lng': -90.1186769697085}, 'southwest': {'lat': 29.9553382697085, 'lng': -90.12137493029151}}}",Engine 25 & Ladder 7,"2430 South Carrollton Avenue, New Orleans","['fire_station', 'point_of_interest', 'establishment']",29.9567424,-90.1199604
