geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9738188, 'lng': -90.04822419999999}, 'viewport': {'northeast': {'lat': 29.9752177802915, 'lng': -90.0470038197085}, 'southwest': {'lat': 29.9725198197085, 'lng': -90.04970178029151}}}",Quicky's,"1535 Franklin Avenue, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.9738188,-90.04822419999999
"{'location': {'lat': 29.9826675, 'lng': -90.0574896}, 'viewport': {'northeast': {'lat': 29.9839199802915, 'lng': -90.0561766697085}, 'southwest': {'lat': 29.9812220197085, 'lng': -90.05887463029151}}}",Mardi Gras Truck Stop,"2411 Elysian Fields Avenue, New Orleans","['gas_station', 'atm', 'laundry', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.9826675,-90.0574896
"{'location': {'lat': 29.9126706, 'lng': -90.01838190000001}, 'viewport': {'northeast': {'lat': 29.9139922802915, 'lng': -90.0169520197085}, 'southwest': {'lat': 29.9112943197085, 'lng': -90.0196499802915}}}",Murphy USA,"3921 Behrman Highway, New Orleans","['convenience_store', 'gas_station', 'atm', 'liquor_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.9126706,-90.01838190000001
"{'location': {'lat': 29.9652747, 'lng': -90.0976275}, 'viewport': {'northeast': {'lat': 29.9666153802915, 'lng': -90.09629616970848}, 'southwest': {'lat': 29.9639174197085, 'lng': -90.0989941302915}}}",Shell,"3327 Tulane Avenue, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.9652747,-90.0976275
"{'location': {'lat': 29.907844, 'lng': -90.05428599999999}, 'viewport': {'northeast': {'lat': 29.90909508029149, 'lng': -90.0530044697085}, 'southwest': {'lat': 29.90639711970849, 'lng': -90.0557024302915}}}",RaceTrac,"1625 Lafayette Street, Gretna","['gas_station', 'atm', 'convenience_store', 'bakery', 'cafe', 'finance', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",29.907844,-90.05428599999999
"{'location': {'lat': 29.9692659, 'lng': -90.0506188}, 'viewport': {'northeast': {'lat': 29.9706279302915, 'lng': -90.04906891970847}, 'southwest': {'lat': 29.9679299697085, 'lng': -90.0517668802915}}}",Shell,"1100 Franklin Avenue, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.9692659,-90.0506188
"{'location': {'lat': 29.92538490000001, 'lng': -90.0394599}, 'viewport': {'northeast': {'lat': 29.9267019302915, 'lng': -90.03808576970849}, 'southwest': {'lat': 29.9240039697085, 'lng': -90.0407837302915}}}",Shell,"101 Westbank Expressway, Gretna","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",29.92538490000001,-90.0394599
"{'location': {'lat': 29.9588665, 'lng': -90.0703633}, 'viewport': {'northeast': {'lat': 29.9602346802915, 'lng': -90.0690160197085}, 'southwest': {'lat': 29.9575367197085, 'lng': -90.0717139802915}}}",Chevron,"447 North Rampart Street, New Orleans","['gas_station', 'convenience_store', 'car_repair', 'store', 'food', 'point_of_interest', 'establishment']",29.9588665,-90.0703633
"{'location': {'lat': 29.9293935, 'lng': -90.0671545}, 'viewport': {'northeast': {'lat': 29.93060463029149, 'lng': -90.0657859197085}, 'southwest': {'lat': 29.9279066697085, 'lng': -90.06848388029151}}}",Sterling Xpress,"1667 Tchoupitoulas Street, New Orleans","['convenience_store', 'gas_station', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",29.9293935,-90.0671545
"{'location': {'lat': 29.966117, 'lng': -90.08740019999999}, 'viewport': {'northeast': {'lat': 29.9674275302915, 'lng': -90.0859971197085}, 'southwest': {'lat': 29.9647295697085, 'lng': -90.0886950802915}}}",Exxon,"2701 Canal Street, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.966117,-90.08740019999999
"{'location': {'lat': 29.903649, 'lng': -90.065699}, 'viewport': {'northeast': {'lat': 29.90488363029149, 'lng': -90.06448051970848}, 'southwest': {'lat': 29.90218566970849, 'lng': -90.0671784802915}}}",Exxon,"1570 U.S. 90 Business, Harvey","['gas_station', 'point_of_interest', 'establishment']",29.903649,-90.065699
"{'location': {'lat': 29.9569754, 'lng': -90.0740381}, 'viewport': {'northeast': {'lat': 29.9583631302915, 'lng': -90.07274751970849}, 'southwest': {'lat': 29.9556651697085, 'lng': -90.0754454802915}}}",Budget,"1317 Canal Street, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.9569754,-90.0740381
"{'location': {'lat': 29.9432065, 'lng': -90.0732451}, 'viewport': {'northeast': {'lat': 29.9445026802915, 'lng': -90.07188166970849}, 'southwest': {'lat': 29.9418047197085, 'lng': -90.0745796302915}}}",Circle K,"704 Howard Avenue, New Orleans","['convenience_store', 'gas_station', 'store', 'food', 'point_of_interest', 'establishment']",29.9432065,-90.0732451
"{'location': {'lat': 29.9602199, 'lng': -90.06866989999999}, 'viewport': {'northeast': {'lat': 29.9615573802915, 'lng': -90.06730371970849}, 'southwest': {'lat': 29.9588594197085, 'lng': -90.0700016802915}}}",Parking Spot,"630 North Rampart Street, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.9602199,-90.06866989999999
"{'location': {'lat': 29.9417859, 'lng': -90.0674887}, 'viewport': {'northeast': {'lat': 29.9431563302915, 'lng': -90.0661504697085}, 'southwest': {'lat': 29.9404583697085, 'lng': -90.06884843029151}}}",Shell,"1011 Tchoupitoulas Street, New Orleans","['gas_station', 'atm', 'convenience_store', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",29.9417859,-90.0674887
"{'location': {'lat': 29.9462201, 'lng': -90.08916459999999}, 'viewport': {'northeast': {'lat': 29.94746638029149, 'lng': -90.08778361970849}, 'southwest': {'lat': 29.9447684197085, 'lng': -90.0904815802915}}}",Valero,"2013 South Claiborne Avenue, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.9462201,-90.08916459999999
"{'location': {'lat': 29.9695691, 'lng': -90.0839043}, 'viewport': {'northeast': {'lat': 29.9707309802915, 'lng': -90.0826987197085}, 'southwest': {'lat': 29.9680330197085, 'lng': -90.08539668029151}}}",Delta,"2685 Lafitte Avenue, New Orleans","['gas_station', 'point_of_interest', 'establishment']",29.9695691,-90.0839043
