geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9177486, 'lng': -90.1280718}, 'viewport': {'northeast': {'lat': 29.91882803029149, 'lng': -90.1265751197085}, 'southwest': {'lat': 29.9161300697085, 'lng': -90.12927308029151}}, 'lat': 29.9177486, 'lng': -90.1280718}",Children's Hospital New Orleans,"200 Henry Clay Avenue, New Orleans","['hospital', 'point_of_interest', 'establishment']",29.9177486,-90.1280718
"{'location': {'lat': 29.8917868, 'lng': -90.0955094}, 'viewport': {'northeast': {'lat': 29.8931362802915, 'lng': -90.09415391970849}, 'southwest': {'lat': 29.8904383197085, 'lng': -90.09685188029151}}, 'lat': 29.8917868, 'lng': -90.0955094}",West Jefferson Medical Center,"1101 Medical Center Boulevard, Marrero","['hospital', 'point_of_interest', 'establishment']",29.8917868,-90.0955094
"{'location': {'lat': 29.9556817, 'lng': -90.07583009999999}, 'viewport': {'northeast': {'lat': 29.9567641302915, 'lng': -90.07433826970849}, 'southwest': {'lat': 29.9540661697085, 'lng': -90.0770362302915}}, 'lat': 29.9556817, 'lng': -90.07583009999999}",Tulane Medical Center,"1415 Tulane Avenue, New Orleans","['hospital', 'point_of_interest', 'establishment']",29.9556817,-90.07583009999999
"{'location': {'lat': 29.9266229, 'lng': -90.0928673}, 'viewport': {'northeast': {'lat': 29.9281829802915, 'lng': -90.09162541970849}, 'southwest': {'lat': 29.9254850197085, 'lng': -90.09432338029151}}, 'lat': 29.9266229, 'lng': -90.0928673}",Internal Medicine Specialist Inc.,"3525 Prytania Street, New Orleans","['hospital', 'health', 'point_of_interest', 'establishment']",29.9266229,-90.0928673
"{'location': {'lat': 29.9177892, 'lng': -90.1276848}, 'viewport': {'northeast': {'lat': 29.9189211302915, 'lng': -90.12621956970848}, 'southwest': {'lat': 29.9162231697085, 'lng': -90.1289175302915}}, 'lat': 29.9177892, 'lng': -90.1276848}",CHNOLA,"5720, 200 Henry Clay Avenue, New Orleans","['hospital', 'point_of_interest', 'establishment']",29.9177892,-90.1276848
"{'location': {'lat': 29.9395701, 'lng': -90.1066123}, 'viewport': {'northeast': {'lat': 29.9410674302915, 'lng': -90.10525341970849}, 'southwest': {'lat': 29.9383694697085, 'lng': -90.1079513802915}}, 'lat': 29.9395701, 'lng': -90.1066123}",Planned Parenthood - New Orleans Health Center,"4636 South Claiborne Avenue Ste 100, New Orleans","['hospital', 'point_of_interest', 'establishment']",29.9395701,-90.1066123
"{'location': {'lat': 29.9372464, 'lng': -90.1042447}, 'viewport': {'northeast': {'lat': 29.9389770802915, 'lng': -90.10312861970849}, 'southwest': {'lat': 29.9362791197085, 'lng': -90.10582658029149}}, 'lat': 29.9372464, 'lng': -90.1042447}",Ochsner Baptist,"2700 Napoleon Avenue, New Orleans","['hospital', 'point_of_interest', 'establishment']",29.9372464,-90.1042447
"{'location': {'lat': 29.8906192, 'lng': -90.09453719999999}, 'viewport': {'northeast': {'lat': 29.8919597302915, 'lng': -90.09332211970849}, 'southwest': {'lat': 29.8892617697085, 'lng': -90.09602008029151}}, 'lat': 29.8906192, 'lng': -90.09453719999999}",Heart Clinic Louisiana,"1111 Medical Center Boulevard, Marrero","['hospital', 'point_of_interest', 'establishment']",29.8906192,-90.09453719999999
"{'location': {'lat': 29.9372263, 'lng': -90.07719580000001}, 'viewport': {'northeast': {'lat': 29.9385346302915, 'lng': -90.07577301970849}, 'southwest': {'lat': 29.9358366697085, 'lng': -90.07847098029151}}, 'lat': 29.9372263, 'lng': -90.07719580000001}",Center for Restorative Breast Surgery,"1717 Saint Charles Avenue, New Orleans","['doctor', 'hospital', 'health', 'point_of_interest', 'establishment']",29.9372263,-90.07719580000001
"{'location': {'lat': 29.924955, 'lng': -90.093254}, 'viewport': {'northeast': {'lat': 29.9261702302915, 'lng': -90.09185171970849}, 'southwest': {'lat': 29.9234722697085, 'lng': -90.09454968029151}}, 'lat': 29.924955, 'lng': -90.093254}",Curahealth New Orleans,"3601 Coliseum Street, New Orleans","['hospital', 'point_of_interest', 'establishment']",29.924955,-90.093254
