geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 30.0138805, 'lng': -90.1812418}, 'viewport': {'northeast': {'lat': 30.0151149802915, 'lng': -90.17987676970849}, 'southwest': {'lat': 30.0124170197085, 'lng': -90.1825747302915}}}",East Jefferson General Hospital,"4200 Houma Boulevard, Metairie","['hospital', 'point_of_interest', 'establishment']",30.0138805,-90.1812418
"{'location': {'lat': 29.99673299999999, 'lng': -90.1866281}, 'viewport': {'northeast': {'lat': 29.99827138029149, 'lng': -90.18569041970848}, 'southwest': {'lat': 29.9955734197085, 'lng': -90.1883883802915}}}",Tulane Lakeside Hospital,"4700 South I 10 Service Road West, Metairie","['hospital', 'point_of_interest', 'establishment']",29.99673299999999,-90.1866281
"{'location': {'lat': 30.0245777, 'lng': -90.271481}, 'viewport': {'northeast': {'lat': 30.0256966802915, 'lng': -90.27054581970849}, 'southwest': {'lat': 30.0229987197085, 'lng': -90.27324378029151}}}",Ochsner Medical Center Kenner,"180 West Esplanade Avenue, Kenner","['hospital', 'point_of_interest', 'establishment']",30.0245777,-90.271481
"{'location': {'lat': 29.9638132, 'lng': -90.18426509999999}, 'viewport': {'northeast': {'lat': 29.9653411802915, 'lng': -90.18284071970848}, 'southwest': {'lat': 29.9626432197085, 'lng': -90.18553868029149}}}",Ochsner Health Center - Elmwood,"1221 South Clearview Parkway, New Orleans","['hospital', 'point_of_interest', 'establishment']",29.9638132,-90.18426509999999
"{'location': {'lat': 30.0064034, 'lng': -90.234723}, 'viewport': {'northeast': {'lat': 30.0077081802915, 'lng': -90.2333782697085}, 'southwest': {'lat': 30.0050102197085, 'lng': -90.23607623029152}}}",Dynasplint Systems Inc,"2400 Veterans Boulevard, Kenner","['doctor', 'hospital', 'health', 'point_of_interest', 'establishment']",30.0064034,-90.234723
"{'location': {'lat': 30.0274755, 'lng': -90.27191669999999}, 'viewport': {'northeast': {'lat': 30.0286553302915, 'lng': -90.2705820697085}, 'southwest': {'lat': 30.0259573697085, 'lng': -90.2732800302915}}}",St Theresa Specialty Hospital,"3601 Loyola Drive, Kenner","['hospital', 'point_of_interest', 'establishment']",30.0274755,-90.27191669999999
"{'location': {'lat': 29.9619304, 'lng': -90.2036663}, 'viewport': {'northeast': {'lat': 29.9632361302915, 'lng': -90.2024753197085}, 'southwest': {'lat': 29.9605381697085, 'lng': -90.2051732802915}}}",Pelican State Outpatient Center,"1525 Dickory Avenue, New Orleans","['hospital', 'point_of_interest', 'establishment']",29.9619304,-90.2036663
"{'location': {'lat': 30.01542, 'lng': -90.167029}, 'viewport': {'northeast': {'lat': 30.0166283802915, 'lng': -90.16569241970849}, 'southwest': {'lat': 30.0139304197085, 'lng': -90.1683903802915}}}",The Parenting Center at Children's Hospital - Metairie,"3747 West Esplanade Avenue, Metairie","['hospital', 'health', 'point_of_interest', 'establishment']",30.01542,-90.167029
"{'location': {'lat': 30.02387769999999, 'lng': -90.23766460000002}, 'viewport': {'northeast': {'lat': 30.02522008029149, 'lng': -90.2362020197085}, 'southwest': {'lat': 30.0225221197085, 'lng': -90.23889998029152}}}",Ochsner Health Center - Driftwood,"2120 Driftwood Boulevard, Kenner","['hospital', 'point_of_interest', 'establishment']",30.02387769999999,-90.23766460000002
"{'location': {'lat': 30.0246414, 'lng': -90.27120359999999}, 'viewport': {'northeast': {'lat': 30.0261914302915, 'lng': -90.26986861970849}, 'southwest': {'lat': 30.0234934697085, 'lng': -90.27256658029151}}}",Ochsner Health Center - Kenner,"200 West Esplanade Avenue, Kenner","['hospital', 'point_of_interest', 'establishment']",30.0246414,-90.27120359999999
"{'location': {'lat': 30.0030222, 'lng': -90.1806581}, 'viewport': {'northeast': {'lat': 30.0043828802915, 'lng': -90.1792249197085}, 'southwest': {'lat': 30.0016849197085, 'lng': -90.18192288029151}}}",Pelican Pediatric Physicians - Metairie,"3100 Kingman Street #110, Metairie","['doctor', 'hospital', 'health', 'point_of_interest', 'establishment']",30.0030222,-90.1806581
"{'location': {'lat': 30.0004473, 'lng': -90.2406522}, 'viewport': {'northeast': {'lat': 30.0018075802915, 'lng': -90.23947841970849}, 'southwest': {'lat': 29.9991096197085, 'lng': -90.24217638029151}}}",LA Health Solutions - Kenner,"2424 Williams Boulevard Suite A & B, Kenner","['physiotherapist', 'doctor', 'hospital', 'health', 'point_of_interest', 'establishment']",30.0004473,-90.2406522
