geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9557828, 'lng': -90.0762827}, 'viewport': {'northeast': {'lat': 29.9568090802915, 'lng': -90.07464511970849}, 'southwest': {'lat': 29.9541111197085, 'lng': -90.0773430802915}}}",Walgreens Pharmacy at Tulane Medical Center,"1415 Tulane Ave Ste 2cw07, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.9557828,-90.0762827
"{'location': {'lat': 29.8900595, 'lng': -90.0531388}, 'viewport': {'northeast': {'lat': 29.8915242802915, 'lng': -90.0515436197085}, 'southwest': {'lat': 29.8888263197085, 'lng': -90.05424158029152}}}",CVS Pharmacy,"1731 Manhattan Boulevard, Harvey","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.8900595,-90.0531388
"{'location': {'lat': 29.9256409, 'lng': -90.0922539}, 'viewport': {'northeast': {'lat': 29.9268933302915, 'lng': -90.0912391197085}, 'southwest': {'lat': 29.9241953697085, 'lng': -90.09393708029151}}}","Adrienne B. Allen, PharmD","1401 Foucher Street, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.9256409,-90.0922539
"{'location': {'lat': 29.925094, 'lng': -90.07012999999999}, 'viewport': {'northeast': {'lat': 29.9266394302915, 'lng': -90.06846681970849}, 'southwest': {'lat': 29.9239414697085, 'lng': -90.0711647802915}}}",Walmart Pharmacy,"1901 Tchoupitoulas Street, New Orleans","['pharmacy', 'department_store', 'health', 'store', 'point_of_interest', 'establishment']",29.925094,-90.07012999999999
"{'location': {'lat': 29.8906213, 'lng': -90.094532}, 'viewport': {'northeast': {'lat': 29.8919616302915, 'lng': -90.0933196197085}, 'southwest': {'lat': 29.8892636697085, 'lng': -90.09601758029152}}}",Walgreens Pharmacy at West Jefferson Medical Center,"1111 Medical Center Boulevard Ste N116, Marrero","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.8906213,-90.094532
"{'location': {'lat': 29.91606299999999, 'lng': -90.114308}, 'viewport': {'northeast': {'lat': 29.9174568802915, 'lng': -90.1129595697085}, 'southwest': {'lat': 29.9147589197085, 'lng': -90.11565753029151}}}","Mary L. Kelley, PhD","5300 Tchoupitoulas Street, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.91606299999999,-90.114308
"{'location': {'lat': 29.91606299999999, 'lng': -90.114308}, 'viewport': {'northeast': {'lat': 29.9174568802915, 'lng': -90.1129595697085}, 'southwest': {'lat': 29.9147589197085, 'lng': -90.11565753029151}}}","Stephanie M. Washington, PHARMD","5300 Tchoupitoulas Street, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.91606299999999,-90.114308
"{'location': {'lat': 29.9256409, 'lng': -90.0922539}, 'viewport': {'northeast': {'lat': 29.9268933302915, 'lng': -90.0912391197085}, 'southwest': {'lat': 29.9241953697085, 'lng': -90.09393708029151}}}","Christine L. Davis-Dehesa, RPH","1401 Foucher Street, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.9256409,-90.0922539
"{'location': {'lat': 29.9621445, 'lng': -90.1458689}, 'viewport': {'northeast': {'lat': 29.9636055802915, 'lng': -90.1444296697085}, 'southwest': {'lat': 29.9609076197085, 'lng': -90.14712763029151}}}","Latrina H. Franklin, PA","1514 Jefferson Highway, Jefferson","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.9621445,-90.1458689
"{'location': {'lat': 29.91606299999999, 'lng': -90.114308}, 'viewport': {'northeast': {'lat': 29.9174568802915, 'lng': -90.1129595697085}, 'southwest': {'lat': 29.9147589197085, 'lng': -90.11565753029151}}}","Harold G. Engle, RPh","5300 Tchoupitoulas Street, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.91606299999999,-90.114308
"{'location': {'lat': 29.9539742, 'lng': -90.07920279999999}, 'viewport': {'northeast': {'lat': 29.95514638029149, 'lng': -90.07795691970848}, 'southwest': {'lat': 29.9524484197085, 'lng': -90.08065488029149}}}","Alexander A. Echevarria, PHARM","1601 Perdido Street, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.9539742,-90.07920279999999
"{'location': {'lat': 29.9539742, 'lng': -90.07920279999999}, 'viewport': {'northeast': {'lat': 29.95514638029149, 'lng': -90.07795691970848}, 'southwest': {'lat': 29.9524484197085, 'lng': -90.08065488029149}}}","Maurice Hew, RPh","1601 Perdido Street, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.9539742,-90.07920279999999
"{'location': {'lat': 29.9539742, 'lng': -90.07920279999999}, 'viewport': {'northeast': {'lat': 29.95514638029149, 'lng': -90.07795691970848}, 'southwest': {'lat': 29.9524484197085, 'lng': -90.08065488029149}}}","Tien-Hua Ho, R","1601 Perdido Street, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.9539742,-90.07920279999999
"{'location': {'lat': 29.893702, 'lng': -90.05646019999999}, 'viewport': {'northeast': {'lat': 29.8949488802915, 'lng': -90.05534136970849}, 'southwest': {'lat': 29.8922509197085, 'lng': -90.05803933029149}}}",Sam's Club Pharmacy,"1527 Manhattan Boulevard, Harvey","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.893702,-90.05646019999999
"{'location': {'lat': 29.95348220000001, 'lng': -90.07047960000001}, 'viewport': {'northeast': {'lat': 29.9549905302915, 'lng': -90.06898956970849}, 'southwest': {'lat': 29.9522925697085, 'lng': -90.0716875302915}}}","Jay A. Yancey, PharmD","800 Canal Street, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.95348220000001,-90.07047960000001
"{'location': {'lat': 29.9564673, 'lng': -90.0632543}, 'viewport': {'northeast': {'lat': 29.95776768029149, 'lng': -90.0618268697085}, 'southwest': {'lat': 29.9550697197085, 'lng': -90.0645248302915}}}","Gerard M. Johnson, RPH","619 Decatur Street, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.9564673,-90.0632543
"{'location': {'lat': 29.9534229, 'lng': -90.0706258}, 'viewport': {'northeast': {'lat': 29.95498053029149, 'lng': -90.0690921697085}, 'southwest': {'lat': 29.9522825697085, 'lng': -90.07179013029152}}}",CVS Pharmacy,"800 Canal Street, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.9534229,-90.0706258
"{'location': {'lat': 29.9483478, 'lng': -90.0743815}, 'viewport': {'northeast': {'lat': 29.94956973029149, 'lng': -90.0730685697085}, 'southwest': {'lat': 29.94687176970849, 'lng': -90.07576653029152}}}",CVS Pharmacy,"939 Girod Street, New Orleans","['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",29.9483478,-90.0743815
