geometry,name,vicinity,types,lat,lng
"{'location': {'lat': 29.9254115, 'lng': -90.0697539}, 'viewport': {'northeast': {'lat': 29.9269059302915, 'lng': -90.06823701970849}, 'southwest': {'lat': 29.9242079697085, 'lng': -90.07093498029151}}}",Walmart Supercenter,"1901 Tchoupitoulas Street, New Orleans","['department_store', 'supermarket', 'grocery_or_supermarket', 'electronics_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9254115,-90.0697539
"{'location': {'lat': 29.92069379999999, 'lng': -90.1177694}, 'viewport': {'northeast': {'lat': 29.9221783802915, 'lng': -90.11630501970849}, 'southwest': {'lat': 29.9194804197085, 'lng': -90.1190029802915}}}",Whole Foods Market,"5600 Magazine Street, New Orleans","['grocery_or_supermarket', 'supermarket', 'health', 'store', 'food', 'point_of_interest', 'establishment']",29.92069379999999,-90.1177694
"{'location': {'lat': 29.92797, 'lng': -90.09079299999999}, 'viewport': {'northeast': {'lat': 29.9294994802915, 'lng': -90.08953601970849}, 'southwest': {'lat': 29.9268015197085, 'lng': -90.0922339802915}}}",The Fresh Market,"3338 Saint Charles Avenue, New Orleans","['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.92797,-90.09079299999999
"{'location': {'lat': 29.9644828, 'lng': -90.0503705}, 'viewport': {'northeast': {'lat': 29.9658817302915, 'lng': -90.0490065197085}, 'southwest': {'lat': 29.9631837697085, 'lng': -90.0517044802915}}}",Mardi Gras Zone Supermarket,"2706 Royal Street, New Orleans","['supermarket', 'grocery_or_supermarket', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9644828,-90.0503705
"{'location': {'lat': 29.9115458, 'lng': -90.0204128}, 'viewport': {'northeast': {'lat': 29.91289048029149, 'lng': -90.0186826697085}, 'southwest': {'lat': 29.91019251970849, 'lng': -90.02138063029152}}}",Walmart Supercenter,"4001 Behrman Place, New Orleans","['department_store', 'supermarket', 'grocery_or_supermarket', 'electronics_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9115458,-90.0204128
"{'location': {'lat': 29.9570452, 'lng': -90.12069}, 'viewport': {'northeast': {'lat': 29.9583565302915, 'lng': -90.1193796697085}, 'southwest': {'lat': 29.9556585697085, 'lng': -90.1220776302915}}}",Robért Fresh Market,"8115 South Claiborne Avenue, New Orleans","['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.9570452,-90.12069
"{'location': {'lat': 29.941788, 'lng': -90.068466}, 'viewport': {'northeast': {'lat': 29.9430467302915, 'lng': -90.0671441197085}, 'southwest': {'lat': 29.9403487697085, 'lng': -90.06984208029151}}}",Nesbit’s Poeyfarre Street Market,"925 Poeyfarre Street, New Orleans","['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.941788,-90.068466
"{'location': {'lat': 29.9763639, 'lng': -90.09651559999999}, 'viewport': {'northeast': {'lat': 29.9778375802915, 'lng': -90.0953346697085}, 'southwest': {'lat': 29.97513961970851, 'lng': -90.09803263029151}}}",Rouses Market,"400 North Carrollton Avenue, New Orleans","['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.9763639,-90.09651559999999
"{'location': {'lat': 29.9239565, 'lng': -90.0877265}, 'viewport': {'northeast': {'lat': 29.92527548029149, 'lng': -90.08636056970849}, 'southwest': {'lat': 29.92257751970849, 'lng': -90.0890585302915}}}",Breaux Mart on Magazine,"3233 Magazine Street, New Orleans","['supermarket', 'florist', 'bakery', 'grocery_or_supermarket', 'liquor_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9239565,-90.0877265
"{'location': {'lat': 29.9266378, 'lng': -90.1167849}, 'viewport': {'northeast': {'lat': 29.9280227302915, 'lng': -90.1153187197085}, 'southwest': {'lat': 29.9253247697085, 'lng': -90.1180166802915}}}",Langenstein's,"1330 Arabella Street, New Orleans","['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.9266378,-90.1167849
"{'location': {'lat': 29.9653863, 'lng': -90.1116808}, 'viewport': {'northeast': {'lat': 29.9666466802915, 'lng': -90.1102294697085}, 'southwest': {'lat': 29.9639487197085, 'lng': -90.1129274302915}}}",Family Dollar,"3612 South Carrollton Avenue, New Orleans","['supermarket', 'grocery_or_supermarket', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9653863,-90.1116808
"{'location': {'lat': 29.8954086, 'lng': -90.0572738}, 'viewport': {'northeast': {'lat': 29.8965042302915, 'lng': -90.0563961197085}, 'southwest': {'lat': 29.8938062697085, 'lng': -90.0590940802915}}}",Walmart Supercenter,"1501 Manhattan Boulevard, Harvey","['department_store', 'supermarket', 'grocery_or_supermarket', 'electronics_store', 'store', 'food', 'point_of_interest', 'establishment']",29.8954086,-90.0572738
"{'location': {'lat': 29.9427597, 'lng': -90.09585179999999}, 'viewport': {'northeast': {'lat': 29.9439776302915, 'lng': -90.09440426970849}, 'southwest': {'lat': 29.9412796697085, 'lng': -90.09710223029151}}}",Save A Lot,"2841 South Claiborne Avenue Suite B, New Orleans","['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.9427597,-90.09585179999999
"{'location': {'lat': 29.9477682, 'lng': -90.07428039999999}, 'viewport': {'northeast': {'lat': 29.9492820802915, 'lng': -90.07301221970849}, 'southwest': {'lat': 29.9465841197085, 'lng': -90.0757101802915}}}",Rouses Market,"701 Baronne Street, New Orleans","['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.9477682,-90.07428039999999
"{'location': {'lat': 29.9671931, 'lng': -90.08484779999999}, 'viewport': {'northeast': {'lat': 29.96858573029149, 'lng': -90.0835613197085}, 'southwest': {'lat': 29.9658877697085, 'lng': -90.0862592802915}}}",Whole Foods Market,"300 North Broad Street, New Orleans","['grocery_or_supermarket', 'supermarket', 'health', 'store', 'food', 'point_of_interest', 'establishment']",29.9671931,-90.08484779999999
"{'location': {'lat': 29.9186078, 'lng': -90.0505807}, 'viewport': {'northeast': {'lat': 29.9199249302915, 'lng': -90.04926421970848}, 'southwest': {'lat': 29.9172269697085, 'lng': -90.0519621802915}}}",Rouses Market,"91 Westbank Expressway #600, Gretna","['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.9186078,-90.0505807
"{'location': {'lat': 29.9604076, 'lng': -90.11502899999999}, 'viewport': {'northeast': {'lat': 29.9618379802915, 'lng': -90.1135883197085}, 'southwest': {'lat': 29.9591400197085, 'lng': -90.1162862802915}}}",Save A Lot,"3033 South Carrollton Avenue, New Orleans","['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.9604076,-90.11502899999999
"{'location': {'lat': 29.91337589999999, 'lng': -90.0536358}, 'viewport': {'northeast': {'lat': 29.9146365802915, 'lng': -90.05221191970848}, 'southwest': {'lat': 29.9119386197085, 'lng': -90.0549098802915}}}",Walmart Neighborhood Market,"99 Westbank Expressway, Gretna","['supermarket', 'department_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.91337589999999,-90.0536358
"{'location': {'lat': 29.9165648, 'lng': -90.1028027}, 'viewport': {'northeast': {'lat': 29.9179176802915, 'lng': -90.10141046970848}, 'southwest': {'lat': 29.9152197197085, 'lng': -90.10410843029149}}}",Rouses Market,"4500 Tchoupitoulas Street, New Orleans","['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.9165648,-90.1028027
"{'location': {'lat': 29.9141233, 'lng': -90.0421396}, 'viewport': {'northeast': {'lat': 29.9154849802915, 'lng': -90.04105271970849}, 'southwest': {'lat': 29.9127870197085, 'lng': -90.04375068029151}}}",Family Dollar,"701 Whitney Avenue, Terrytown","['supermarket', 'grocery_or_supermarket', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.9141233,-90.0421396
"{'location': {'lat': 29.945714, 'lng': -90.09025899999999}, 'viewport': {'northeast': {'lat': 29.9468779802915, 'lng': -90.08874401970849}, 'southwest': {'lat': 29.9441800197085, 'lng': -90.09144198029149}}}",Family Dollar,"2147 South Claiborne Avenue, New Orleans","['supermarket', 'grocery_or_supermarket', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.945714,-90.09025899999999
"{'location': {'lat': 29.98752469999999, 'lng': -90.13170799999999}, 'viewport': {'northeast': {'lat': 29.9889928802915, 'lng': -90.1303434197085}, 'southwest': {'lat': 29.9862949197085, 'lng': -90.1330413802915}}}",Langenstein's,"800 Metairie Road G, Metairie","['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",29.98752469999999,-90.13170799999999
"{'location': {'lat': 29.8951289, 'lng': -90.10337539999999}, 'viewport': {'northeast': {'lat': 29.8961845302915, 'lng': -90.1019783197085}, 'southwest': {'lat': 29.8934865697085, 'lng': -90.1046762802915}}}",Family Dollar,"5252 Westbank Expressway, Marrero","['supermarket', 'grocery_or_supermarket', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",29.8951289,-90.10337539999999
